lambda	rg	rdh	zg	zdh
0.	3.076923076923076923076923076923	3.08066015786126844731081099375	0.7071067811865475244008443621048	0.68874805809681136867173836302
0.0125	3.076968613976687192387640642293	3.08072214576044816474958866	0.7067151023643162827827239580163	0.68827115014455250592474384
0.025	3.077105233850252450120809014436	3.08087533521806824837530667	0.7055404823839895035502624646982	0.68701178515076238530254178
0.0375	3.077332962682665879145596350078	3.08111982040586289828733188	0.7035841704354591793539186304613	0.6849710004850560637630607
0.05	3.077651844041046221017104095589	3.08145571340979600202635859	0.7008482476029178923386176508184	0.6821506397086645562111711
0.0625	3.078061938924173563322790229039	3.08188313423094718265772218	0.6973356255108443785054351828101	0.6785533878403873747807974
0.075	3.078563325767280684439392894642	3.0824022042659147464400945	0.6930500444173063779935973519829	0.6741828004005176590211773
0.0875	3.079156100448181147036335965799	3.0830130443638277713898122	0.6879960707436659094405838051258	0.6690433217426497584520128
0.1	3.079840376294709884622519880278	3.0837157778110250090412591	0.6821790940268836009408923925609	0.663140290038561715138984
0.1125	3.080616284093446523396554341254	3.0845105377707117515302279	0.6756053232779000814444617022212	0.6564799285609759859165574
0.125	3.081483972099686112241491180654	3.0853974779465584709067153	0.6682817827270585111780546635055	0.6490693252009464011000731
0.1375	3.082443606048616284422105139842	3.0863767846811307269068472	0.6602163069352561978145089127084	0.6409164040481810267778409
0.15	3.083495369167654132798796382572	3.0874486884444245845534107	0.651417535247505961426731726643	0.6320298940163131147479408
0.1625	3.084639462189890233437657673643	3.0886134727650440071601402	0.6418949055638782059148071123518	0.6224192997108297272701866
0.175	3.085876103368581287491447997961	3.0898714790952158405455892	0.6316586474014086550961527914258	0.6120948789888221959699905
0.1875	3.087205528492626755103922564755	3.0912231068083502312514689	0.6207197742195176783484952509942	0.6010676300987903523355911
0.2	3.088627990902958614618179880181	3.0926688083824783027985998	0.6090900749808152082366756922813	0.5893492892163481360075527
0.2125	3.090143761509766982114455714295	3.0942090806746527237244522	0.5967821049188772398815028896447	0.5769523370010747419961606
0.225	3.091753128810477756611240132223	3.0958444538884821569824967	0.5838091754846890434859435905433	0.5638900109025861954405629
0.2375	3.093456398908391701247077103013	3.0975754802529858308542576	0.5701853434439660230155631617881	0.5501763186931591304438225
0.25	3.09525389553188741627791282917	3.0994027244879944741672075	0.5559253990984912247226335845112	0.5358260483284656386931453
0.2625	3.097145960054083491366628184835	3.101326757814727281786319	0.5410448536059504243710848154619	0.5208547697991404576499952
0.275	3.099132951512847727712820385371	3.1033481566321207558402205	0.5255599253744989687500624010353	0.5052788260187922675007535
0.2875	3.101215246631033680076772632491	3.1054675061306139825027031	0.5094875255104524054730732393591	0.4891153117291635815889951
0.3	3.103393239836816869380632983683	3.1076854082054738992686303	0.4928452423000444979703858691961	0.4723820415184718153257154
0.3125	3.105667343283994842679880033294	3.1100024922244536996134372	0.4756513247091264059251090179973	0.4550975099411096290876856
0.325	3.108037986872106792901447921575	3.1124194266465639231494206	0.4579246648879704173416246365423	0.4372808480375656835160838
0.3375	3.110505618266219679494228401015	3.1149369292841465600044629	0.4396847796719674427914582960539	0.4189517810371543983926486
0.35	3.113070702916218696313089126916	3.1175557741912854563809067	0.4209517910729424674413284034475	0.4001305915961173108965764
0.3625	3.115733724075430497553653277247	3.120276793719301131978335	0.4017464057600255896612644369256	0.380838091667319278050509
0.375	3.118495182818397798869224446368	3.1231008751096926583663744	0.3820898935334740333417911717206	0.36109560425914707076959
0.3875	3.121355598057613801022546428664	3.1260289519511863538651264	0.3620040647995053604505004526311	0.340924954273646913562094
0.4	3.124315506559014319224520086279	3.1290619917404990382576787	0.3415112470590339984166485997552	0.320348465712184223838119
0.4125	3.127375462956014523933499060142	3.1322009814914167052007173	0.3206342604281596866819301588068	0.29938896116187342128686
0.425	3.130536039761865789141669081416	3.1354469137043186575825029	0.2993963922132930884641678597491	0.278069758886314974406047
0.4375	3.133797827380096282427755061954	3.13880077496768309924885	0.2778213705688746008977730789726	0.256414663147594725405204
0.45	3.137161434112786597230843781876	3.142263539016066750391341	0.2559333372707002414157857174476	0.234447944520583893074131
0.4625	3.140627486166418901372904937375	3.145836165290220439553769	0.233756819642865721310043590423	0.212194308705707161883301
0.475	3.144196627655024735852499683932	3.149519603069580406163576	0.2113167016812287065920609343173	0.189678854368704968904478
0.4875	3.14786952060034272292545870383	3.1533148002475995613132	0.1886381944210225466521131228456	0.166927022451882862161533
0.5	3.151646844928683010610987411948	3.157222714975094880876962	0.1657468056007861607076642179224	0.143964540850841129294639
0.5125	3.155529298464180269705275854191	3.161244327859425579502098	0.1426683086790595848845406957919	0.120817369065405341374922
0.525	3.159517596918101446410018595335	3.165380652278084479113115	0.1194287112642902334871413316247	0.09751164728698226303396
0.5375	3.163612473873858235631953067941	3.16963274067253347451044	0.0960542230220611182867867674812	0.074073653414788998081019
0.55	3.167814680767357353319240053904	3.174001685382400533882675	0.0725712231270520508517208297091	0.05052976989362624338141
0.5625	3.172124986862304126923589605339	3.178488613542186504256523	0.0490062273300446768288647142482	0.02690646034611130357424
0.575	3.176544179220056666903321537029	3.183094676623820559555412	0.0253858547127524219749079416457	0.003230254098898839683588
0.5875	3.181073062663608904466543955517	3.187821036180504997468945	0.0017367942052717115725648723695	-0.020472264772348273899938
0.6	3.185712459735261056546466945341	3.192668848055865706601776	-0.02191422905750960246104732359	-0.044174468059246651579309
0.6125	3.190463210647515583087494162001	3.197639247638203451626385	-0.0455404874631627127100378434695	-0.06784969787293659879487
0.625	3.195326173226715408662805949493	3.202733338602108504619582	-0.0691152846546978317109750597999	-0.091471288307351463234961
0.6375	3.200302222848919064629074950608	3.20795218700860844822947	-0.0926119891913068909153495850071	-0.115012596260625431311703
0.65	3.205392252367484443720672229288	3.213296821727630097077497	-0.1160040680593732960885987326968	-0.138447041587419030581452
0.6625	3.21059717203180902040771929853	3.218768241060986924287156	-0.1392651199572278036317835127209	-0.161748154976244824881424
0.675	3.21591790939664965171857744362	3.224367424371610010207236	-0.1623689082785978403894780310078	-0.184889630498513064166799
0.6875	3.22135540922141940888169537345	3.230095346655832367919453	-0.1852893937216442018545448979516	-0.207845378925442966730959
