lambda	rg	rdh	zg	zdh
0.	3.076923076923076923076923076923	3.0811771609148835	0.7071067811865475244008443621048	0.6835208531220679
0.0125	3.076968613976687192387640642293	3.081243176597061	0.7067151023643162827827239580163	0.683017262504048
0.025	3.077105233850252450120809014436	3.0813982759989096	0.7055404823839895035502624646982	0.6817309961096556
0.0375	3.077332962682665879145596350078	3.081642556642889	0.7035841704354591793539186304613	0.6796630192476687
0.05	3.077651844041046221017104095589	3.0819761236545373	0.7008482476029178923386176508184	0.6768150911439944
0.0625	3.078061938924173563322790229039	3.0823990768318907	0.6973356255108443785054351828101	0.673189811766855
0.075	3.078563325767280684439392894642	3.082911502257108	0.6930500444173063779935973519829	0.6687906606830774
0.0875	3.079156100448181147036335965799	3.0835134698757822	0.6879960707436659094405838051258	0.6636220220486589
0.1	3.079840376294709884622519880278	3.0842050374980867	0.6821790940268836009408923925609	0.6576891922816909
0.1125	3.080616284093446523396554341254	3.084986260603953	0.6756053232779000814444617022212	0.6509983699678781
0.125	3.081483972099686112241491180654	3.085857206348533	0.6682817827270585111780546635055	0.6435566305647396
0.1375	3.082443606048616284422105139842	3.086817969439967	0.6602163069352561978145089127084	0.6353718909561822
0.15	3.083495369167654132798796382572	3.0878686872318424	0.651417535247505961426731726643	0.6264528704203114
0.1625	3.084639462189890233437657673643	3.0890095515029703	0.6418949055638782059148071123518	0.616809054847645
0.175	3.085876103368581287491447997961	3.0902408149715046	0.6316586474014086550961527914258	0.6064506700515304
0.1875	3.087205528492626755103922564755	3.091562791513848	0.6207197742195176783484952509942	0.5953886679497318
0.2	3.088627990902958614618179880181	3.0929758501720315	0.6090900749808152082366756922813	0.5836347266641828
0.2125	3.090143761509766982114455714295	3.09448040414042	0.5967821049188772398815028896447	0.5712012627040646
0.225	3.091753128810477756611240132223	3.0960768968261534	0.5838091754846890434859435905433	0.5581014509080968
0.2375	3.093456398908391701247077103013	3.0977657876133238	0.5701853434439660230155631617881	0.5443492461889942
0.25	3.09525389553188741627791282917	3.099547540028043	0.5559253990984912247226335845112	0.5299594006452121
0.2625	3.097145960054083491366628184835	3.101422614582303	0.5410448536059504243710848154619	0.5149474703605585
0.275	3.099132951512847727712820385371	3.103391467738205	0.5255599253744989687500624010353	0.49932980804585353
0.2875	3.101215246631033680076772632491	3.105454557325983	0.5094875255104524054730732393591	0.48312354023030124
0.3	3.103393239836816869380632983683	3.1076123535654814	0.4928452423000444979703858691961	0.46634653049187974
0.3125	3.105667343283994842679880033294	3.109865353793909	0.4756513247091264059251090179973	0.4490173326941967
0.325	3.108037986872106792901447921575	3.112214098283673	0.4579246648879704173416246365423	0.43115513990177945
0.3375	3.110505618266219679494228401015	3.11465918427719	0.4396847796719674427914582960539	0.4127797352568275
0.35	3.113070702916218696313089126916	3.117201275623839	0.4209517910729424674413284034475	0.3939114505083463
0.3625	3.115733724075430497553653277247	3.1198411061384363	0.4017464057600255896612644369256	0.3745711362095534
0.375	3.118495182818397798869224446368	3.1225794758853467	0.3820898935334740333417911717206	0.3547801451670829
0.3875	3.121355598057613801022546428664	3.1254172408371215	0.3620040647995053604505004526311	0.33456032800400703
0.4	3.124315506559014319224520086279	3.128355297539572	0.3415112470590339984166485997552	0.3139340372081367
0.4125	3.127375462956014523933499060142	3.131394565322511	0.3206342604281596866819301588068	0.29292413425086183
0.425	3.130536039761865789141669081416	3.134535969059994	0.2993963922132930884641678597491	0.27155399361589017
0.4375	3.133797827380096282427755061954	3.137780425415943	0.2778213705688746008977730789726	0.24984749800791933
0.45	3.137161434112786597230843781876	3.141128834915414	0.2559333372707002414157857174476	0.22782902052981963
0.4625	3.140627486166418901372904937375	3.144582081158387	0.233756819642865721310043590423	0.20552339192870456
0.475	3.144196627655024735852499683932	3.1481410372197405	0.2113167016812287065920609343173	0.18295585367331366
0.4875	3.14786952060034272292545870383	3.1518065779814295	0.1886381944210225466521131228456	0.16015200013152653
0.5	3.151646844928683010610987411948	3.155579596053443	0.1657468056007861607076642179224	0.13713771499589753
0.5125	3.155529298464180269705275854191	3.159461018257005	0.1426683086790595848845406957919	0.1139391080086754
0.525	3.159517596918101446410018595335	3.163451819494613	0.1194287112642902334871413316247	0.09058245780634291
0.5375	3.163612473873858235631953067941	3.1675530312503604	0.0960542230220611182867867674812	0.0670941653946896
0.55	3.167814680767357353319240053904	3.1717657428828856	0.0725712231270520508517208297091	0.04350072063986639
0.5625	3.172124986862304126923589605339	3.176091095133797	0.0490062273300446768288647142482	0.01982868163117596
0.575	3.176544179220056666903321537029	3.1805302666555173	0.0253858547127524219749079416457	-0.003895335679177856
0.5875	3.181073062663608904466543955517	3.185084455618628	0.0017367942052717115725648723695	-0.02764466206424319
0.6	3.185712459735261056546466945341	3.18975485936444	-0.02191422905750960246104732359	-0.05139257936138866
0.6125	3.190463210647515583087494162001	3.1945426554580116	-0.0455404874631627127100378434695	-0.07511233003479709
0.625	3.195326173226715408662805949493	3.199448987295623	-0.0691152846546978317109750597999	-0.09877713634408256
0.6375	3.200302222848919064629074950608	3.204474956658368	-0.0926119891913068909153495850071	-0.1223602315984477
0.65	3.205392252367484443720672229288	3.2096216244108944	-0.1160040680593732960885987326968	-0.14583490363519858
0.6625	3.21059717203180902040771929853	3.214890019129536	-0.1392651199572278036317835127209	-0.1691745483350225
0.675	3.21591790939664965171857744362	3.2202811520573573	-0.1623689082785978403894780310078	-0.19235272911365564
0.6875	3.22135540922141940888169537345	3.2257960356716997	-0.1852893937216442018545448979516	-0.21534323725371063
0.7	3.2269106333588322745815454627	3.231435702512714	-0.2080007664528839684020483122103	-0.23812014784542046
0.7125	3.23258456063223894863815456221	3.237201220875267	-0.2304774777581369765997694738347	-0.26065786698361554
0.725	3.23837818670096841169034826257	3.243093704523625	-0.2526942711158762436709478769437	-0.2829311675277427
0.7375	3.2442925239129602776823528721	3.2491143146522914	-0.274626212631977369332775346044	-0.30491521283602924
0.75	3.25032860114394229796035074127	3.2552642537006555	-0.2962487207788115685013427569081	-0.32658557002207034
0.7625	3.25648746362237563971048706125	3.2615447520883594	-0.3175375953858719407301177331908	-0.3479182160461945
0.775	3.26277017273935772739610972569	3.267957050212947	-0.3384690458336205379695243278153	-0.3688895410223602
0.7875	3.2691778058426384869922706415	3.2745023789132848	-0.3590197184069502955851406198331	-0.3894763533152079
0.8	3.2757114560138707497041556472	3.2811819418965595	-0.3791667227695248728111768698746	-0.4096558903159044
0.8125	3.28237223182817933655970412267	3.287996903298877	-0.3988876575252437567068875886034	-0.4294058373837275
0.825	3.28916125709509594161301586502	3.2949483826566275	-0.4181606348381319211709802553205	-0.4487043556193234
0.8375	3.29607967057986834532239052045	3.3020374582658722	-0.4369643040870251883505538598408	-0.4675301172618608
0.85	3.30312862570411270909410307348	3.3092651784310876	-0.4552778745364670088334650274051	-0.48586234593915856
0.8625	3.31030929022473671770364337248	3.316632578716027	-0.4730811370102034635712825551573	-0.5036808580363222
0.875	3.31762284589001914190529567505	3.3241407022556833	-0.4903544845585161875010647619902	-0.5209661012455219
0.8875	3.32507048807168798583882847595	3.331790619657469	-0.507078932115324854593983982773	-0.5376991869233568
0.9	3.33265342537179476326453203102	3.339583445105695	-0.52323613514548143521295108129	-0.5538619140685578
0.9125	3.34037287920313661763573249315	3.347520345969828	-0.538808407286929963828126985025	-0.5694367842813317
0.925	3.34823008334193097241706534809	3.355602544379408	-0.553778736996383437819429275615	-0.5844070086561252
0.9375	3.35622628345139918364023640354	3.3638313106573237	-0.568130803210842476510159979284	-0.5987565088777188
0.95	3.36436273657486628561314875194	3.37220794994143	-0.581848990040620895762094227161	-0.612469915590501
0.9625	3.37264071059693339804487931247	3.3807337845143524	-0.594918400512527616695965130311	-0.6255325672612513
0.975	3.38106148367122773019465510649	3.389410135090588	-0.60732486938446253342175920065	-0.6379305122619612
0.9875	3.38962634361318241367806906863	3.3982383044506204	-0.619054975054900420908853706363	-0.6496505158953904
1.	3.39833658725624466670250735015	3.407219566342574	-0.630096050592550147476732180429	-0.6606800728032335
1.0125	3.40719351976985609363733013944	3.4163551615822216	-0.640436193912879040922993460109	-0.6710074239109867
1.025	3.41619845393749331901885134651	3.425646301955097	-0.650064277129181099526020118901	-0.6806215760378016
1.0375	3.42535270939300071838107235791	3.4350941811029188	-0.658969955106443824765427730247	-0.6895123217299024
1.05	3.43465761181338982452801214357	3.444699990318976	-0.667143673246436807120290304908	-0.6976702568542354
1.0625	3.44411449206622215354457273784	3.454464936309943	-0.674576674532214762330377725162	-0.7050867939878502
1.075	3.45372468530963381912098277459	3.4643902576577768	-0.681261005859611199475827408454	-0.711754170522988
1.0875	3.46348953004300150938693089115	3.4744772369873886	-0.68718952368231259366606826936	-0.7176654514681602
