lambda	x	y	z
0.	2.0471700395735084	0.009350036402201604	1.9017697292625753
0.03	2.032645705932498	0.29453673176868866	1.8949014938157214
0.06	1.990786593611908	0.5747019403955447	1.875878504905426
0.09	1.9226425357435226	0.8473933839894567	1.8447879539542218
0.12	1.8291023067466492	1.1105492500567329	1.8017877895770202
0.15	1.7110578879408949	1.3619260523263972	1.7471073818003267
0.18	1.5698086524094246	1.5988742642129963	1.681042337518379
0.21	1.4072846027868624	1.8185880652915085	1.6039490001198144
0.24	1.2258580343438035	2.0185506690079595	1.5162435880735736
0.27	1.0279229862335983	2.196782318393473	1.4184055693947615
0.3	0.815645911022843	2.351745451689959	1.3109801370079124
0.33	0.5911097027157132	2.4820948313383724	1.194575195551255
0.36	0.3566783043867943	2.5865578677086667	1.069853431151321
0.39	0.11519797545319832	2.664040083384484	0.9375245731933225
0.42	-0.1301762132642042	2.713803199917592	0.7983423206524195
0.45	-0.37636860735717553	2.7355148829811062	0.6531052658260977
0.48	-0.620628469936147	2.729142918543588	0.5026566866795332
0.51	-0.8604365857714028	2.6948475389857904	0.3478787752126997
0.54	-1.0932169180232456	2.633012386360793	0.1896820263406484
0.57	-1.316172127662722	2.544378170172177	0.028994988233691316
0.6	-1.5264143641810715	2.430112716853882	-0.13324105133855269
0.63	-1.7212636660125429	2.2917148045651468	-0.2960729084647587
0.66	-1.8984406898909736	2.1308346374271947	-0.45853675461895277
0.69	-2.0560141485364403	1.9491912948238708	-0.6196641224750412
0.72	-2.1922138015871586	1.7486651105592372	-0.7784921998400548
0.75	-2.3053286558702943	1.5314518938283925	-0.9340737062183291
0.78	-2.3937902247433227	1.3000942243906122	-1.0854821002395654
0.81	-2.4563424062586656	1.0573297303244082	-1.2318123653279833
0.84	-2.492131382117984	0.805883883054862	-1.3721815887204636
0.87	-2.5006590482279742	0.5483871807406763	-1.5057331725186405
0.9	-2.4816903764434977	0.2874623095908791	-1.6316444581829663
0.93	-2.4352307593255484	0.0258518974590276	-1.7491340258340915
0.96	-2.361586699059117	-0.2335769120702751	-1.8574653272646509
0.99	-2.26142198477419	-0.4879827623687278	-1.9559468919455647
1.02	-2.1357319653503204	-0.7347342949173018	-2.043932309320692
1.05	-1.9857537139082684	-0.9714885802814728	-2.120822710153157
1.08	-1.812891075971298	-1.196142006939789	-2.1860714231146354
1.11	-1.618695172863478	-1.4067487317864726	-2.239188212698808
1.14	-1.404861186474797	-1.6014987866385095	-2.279741179560024
1.17	-1.1731843597385105	-1.7787491888879217	-2.307356926435288
1.2	-0.9254836108383501	-1.9370315983744646	-2.3217210940308455
1.23	-0.6635658424367205	-2.074995449701774	-2.3225804256354476
1.26	-0.38928276945474793	-2.191332652709619	-2.3097455077719147
1.29	-0.10464398378781206	-2.284760722880817	-2.283092637968676
1.32	0.18810502448449076	-2.3540843318540126	-2.2425645139815646
1.35	0.4864928328687542	-2.398284152259381	-2.1881709256542843
1.38	0.7878889625860505	-2.416576163934128	-2.1199904938230896
1.41	1.0895607295160055	-2.408436394231073	-2.038172958076707
1.44	1.3886953243151179	-2.373621691561875	-1.9429405652852638
1.47	1.6824208796067652	-2.312195939864503	-1.8345880444603402
1.5	1.9678619944332825	-2.22453372112316	-1.7134823803865002
1.53	2.2422132985144407	-2.1112823720829863	-1.5800638867533472
1.56	2.502780514779907	-1.9733150388921659	-1.4348483372301182
1.59	2.7469705454209272	-1.8117300152575992	-1.2784281419896322
1.62	2.9722734236987502	-1.6278989101445969	-1.1114710982463163
1.65	3.17629103724497	-1.4234901713784076	-0.9347177943176589
1.68	3.356809148475677	-1.2003966389182095	-0.7489803303141357
1.71	3.5118490703753626	-0.9605992298557383	-0.5551433572148745
1.74	3.639651744598516	-0.7060962626835581	-0.3541650012872118
1.77	3.7386273233656997	-0.4389891548174628	-0.1470740955317721
