lambda	rg	rdh	zg	zdh
0.	3.076923076923076923076923076923	3.07808466614851790956914902349	0.7071067811865475244008443621048	0.706366015303566933244922826725
0.0125	3.076968613976687192387640642293	3.078132191456122465478366641	0.7067151023643162827827239580163	0.7059746680656319890431136834
0.025	3.077105233850252450120809014436	3.07827478586742859709327588	0.7055404823839895035502624646982	0.70480104689258016728898524734
0.0375	3.077332962682665879145596350078	3.0785125048338847251542562	0.7035841704354591793539186304613	0.702846413094734133803565868
0.05	3.077651844041046221017104095589	3.07884544072751434223711446	0.7008482476029178923386176508184	0.7001128678147620491785453252
0.0625	3.078061938924173563322790229039	3.07927372276930614444696283	0.6973356255108443785054351828101	0.6966033504609438169141751947
0.075	3.078563325767280684439392894642	3.0797975169269295676594895	0.6930500444173063779935973519829	0.6923216365039690523080563705
0.0875	3.079156100448181147036335965799	3.0804170257797858641946008	0.6879960707436659094405838051258	0.6872723346276866226351837053
0.1	3.079840376294709884622519880278	3.0811324883488946726792492	0.6821790940268836009408923925609	0.6814608832217636782389223035
0.1125	3.080616284093446523396554341254	3.0819441798886497329342289	0.6756053232779000814444617022212	0.6748935462019517436606320963
0.125	3.081483972099686112241491180654	3.0828524116370648019914685	0.6682817827270585111780546635055	0.6675774081416380971968343603
0.1375	3.082443606048616284422105139842	3.0838575305207817176244508	0.6602163069352561978145089127084	0.659520368696618596825479941
0.15	3.083495369167654132798796382572	3.0849599188108365888738829	0.651417535247505961426731726643	0.6507311363035958770247887273
0.1625	3.084639462189890233437657673643	3.0861599937249866866934192	0.6418949055638782059148071123518	0.6412192211318128233398208457
0.175	3.085876103368581287491447997961	3.0874582069722987901790908	0.6316586474014086550961527914258	0.6309949272664991652421508294
0.1875	3.087205528492626755103922564755	3.088855044235697966996682	0.6207197742195176783484952509942	0.620069344102457598818349696
0.2	3.088627990902958614618179880181	3.0903510245882816851976068	0.6090900749808152082366756922813	0.608454336926158347732414498
0.2125	3.090143761509766982114455714295	3.0919466998394243711443254	0.5967821049188772398815028896447	0.596162536665155107326075035
0.225	3.091753128810477756611240132223	3.0936426538070373164091929	0.5838091754846890434859435905433	0.583207328784482634829373253
0.2375	3.093456398908391701247077103013	3.0954395015128118341593322	0.5701853434439660230155631617881	0.56960284131094261539780039
0.25	3.09525389553188741627791282917	3.0973378882978614671370167	0.5559253990984912247226335845112	0.555363931967819640034507561
0.2625	3.097145960054083491366628184835	3.0993384888568912939042746	0.5410448536059504243710848154619	0.54050617440457710386259491
0.275	3.099132951512847727712820385371	3.1014420061898558543847814	0.5255599253744989687500624010353	0.525045843508441864459780752
0.2875	3.101215246631033680076772632491	3.1036491704710159873184059	0.5094875255104524054730732393591	0.508999899787469603557544027
0.3	3.103393239836816869380632983683	3.105960737836359967780103	0.4928452423000444979703858691961	0.492385972817658224353512438
0.3125	3.105667343283994842679880033294	3.108377489091503580429531	0.4756513247091264059251090179973	0.475222343749908303272632111
0.325	3.108037986872106792901447921575	3.1109002283434117152522592	0.4579246648879704173416246365423	0.457527926876078123406997712
0.3375	3.110505618266219679494228401015	3.1135297815605720211487429	0.4396847796719674427914582960539	0.439322250257003995418722943
0.35	3.113070702916218696313089126916	3.1162669950675772644035624	0.4209517910729424674413284034475	0.42062543541911048655751628
0.3625	3.115733724075430497553653277247	3.119112733981412602093869	0.4017464057600255896612644369256	0.4014581761300750650835985
0.375	3.118495182818397798869224446368	3.1220678805980697855261247	0.3820898935334740333417911717206	0.381841716267892911946009751
0.3875	3.121355598057613801022546428664	3.125133332739393159082684	0.3620040647995053604505004526311	0.361797826801566770339577529
0.4	3.124315506559014319224520086279	3.128310002071271667919036	0.3415112470590339984166485997552	0.341348781905482286254488527
0.4125	3.127375462956014523933499060142	3.131598812405395787903723	0.3206342604281596866819301588068	0.320517334233282873069818122
0.425	3.130536039761865789141669081416	3.135000697997767449319702	0.2993963922132930884641678597491	0.299326689380694952401453252
0.4375	3.133797827380096282427755061954	3.138516601857954924914068	0.2778213705688746008977730789726	0.277800479570244055511191259
0.45	3.137161434112786597230843781876	3.142147474083695719573483	0.2559333372707002414157857174476	0.255962736594119075905346296
0.4625	3.140627486166418901372904937375	3.145894270235844278345228	0.233756819642865721310043590423	0.233837864054565358502578291
0.475	3.144196627655024735852499683932	3.149757949768817426997265	0.2113167016812287065920609343173	0.211450608944101822129800032
0.4875	3.14786952060034272292545870383	3.153739474531593407063294	0.1886381944210225466521131228456	0.188826032610552434565947236
0.5	3.151646844928683010610987411948	3.157839807353960374479197	0.1657468056007861607076642179224	0.165989481154352202861531681
0.5125	3.155529298464180269705275854191	3.162059910732083776815374	0.1426683086790595848845406957919	0.142966555307830594433434075
0.525	3.159517596918101446410018595335	3.166400745626572260063937	0.1194287112642902334871413316247	0.119783079848192536009049638
0.5375	3.163612473873858235631953067941	3.170863270385078687593153	0.0960542230220611182867867674812	0.096465072597712978328528578
0.55	3.167814680767357353319240053904	3.175448439800093285191966	0.0725712231270520508517208297091	0.0730387130662412559344296
0.5625	3.172124986862304126923589605339	3.18015720431099315673102	0.0490062273300446768288647142482	0.049530310792482635098116146
0.575	3.176544179220056666903321537029	3.184990509357635694220159	0.0253858547127524219749079416457	0.025966273441692871975878076
0.5875	3.181073062663608904466543955517	3.189949294890857158975977	0.0017367942052717115725648723695	0.002373074718392625560941921
0.6	3.185712459735261056546466945341	3.195034495043200562519383	-0.02191422905750960246104732359	-0.021222777846514216350703536
0.6125	3.190463210647515583087494162001	3.200247037961090612567858	-0.0455404874631627127100378434695	-0.044794775174249520907524978
0.625	3.195326173226715408662805949493	3.205587845797541399147394	-0.0691152846546978317109750597999	-0.068316438921937529709255565
0.6375	3.200302222848919064629074950608	3.211057834862368643431901	-0.0926119891913068909153495850071	-0.091761353711096478078918819
0.65	3.205392252367484443720672229288	3.216657915924825822242281	-0.1160040680593732960885987326968	-0.115103199240304365079182531
0.6625	3.21059717203180902040771929853	3.222388994661633265302465	-0.1392651199572278036317835127209	-0.138315782221723774601761687
0.675	3.21591790939664965171857744362	3.228251972241559000507195	-0.1623689082785978403894780310078	-0.161373068081621464823513182
0.6875	3.22135540922141940888169537345	3.23424774603607289010717	-0.1852893937216442018545448979516	-0.184249212365706642207430902
0.7	3.2269106333588322745815454627	3.240377210444159377809191	-0.2080007664528839684020483122103	-0.206918591791050119827515367
0.7125	3.23258456063223894863815456221	3.246641257818160939088173	-0.2304774777581369765997694738347	-0.229355834887547106240227837
0.725	3.23837818670096841169034826257	3.253040779476549718190046	-0.2526942711158762436709478769437	-0.251535852173359877696266622
0.7375	3.2442925239129602776823528721	3.259576666788797916690914	-0.274626212631977369332775346044	-0.273433865810531321429838243
0.75	3.25032860114394229796035074127	3.26624981231704083203386	-0.2962487207788115685013427569081	-0.295025438689001249495046664
0.7625	3.25648746362237563971048706125	3.273061110998996344252993	-0.3175375953858719407301177331908	-0.316286502889585311497292965
0.775	3.26277017273935772739610972569	3.280011461356611637382108	-0.3384690458336205379695243278153	-0.337193387479087365766946594
0.7875	3.2691778058426384869922706415	3.28710176671513736914581	-0.3590197184069502955851406198331	-0.357722845593601156196958811
0.8	3.2757114560138707497041556472	3.294332936417762294460939	-0.3791667227695248728111768698746	-0.377852080769201425320930695
0.8125	3.28237223182817933655970412267	3.301705887021554843569501	-0.3988876575252437567068875886034	-0.397558772482607916059136822
0.825	3.28916125709509594161301586502	3.30922154346122699207919	-0.4181606348381319211709802553205	-0.416821100868002343004745768
0.8375	3.29607967057986834532239052045	3.31688084016813277378677	-0.4369643040870251883505538598408	-0.435617770579957458677209853
0.85	3.30312862570411270909410307348	3.324684722132910888579148	-0.4552778745364670088334650274051	-0.453928033776363245587597013
0.8625	3.31030929022473671770364337248	3.33263414590124985636405	-0.4730811370102034635712825551573	-0.4717317121992684592948704
0.875	3.31762284589001914190529567505	3.340730080493367519061986	-0.4903544845585161875010647619902	-0.489009218335653416156251661
0.8875	3.32507048807168798583882847595	3.348973508238928148617885	-0.507078932115324854593983982773	-0.505741575644266872904126412
0.9	3.33265342537179476326453203102	3.35736542552024557298825	-0.52323613514548143521295108129	-0.521910437838749449233190499
0.9125	3.34037287920313661763573249315	3.365906843417717447425357	-0.538808407286929963828126985025	-0.537498107221281178121219045
0.925	3.34823008334193097241706534809	3.374598788252484522596935	-0.553778736996383437819429275615	-0.552487552064884779269460317
0.9375	3.35622628345139918364023640354	3.383442302022292728690819	-0.568130803210842476510159979284	-0.566862423046243879988859298
0.95	3.36436273657486628561314875194	3.392438442727441226780419	-0.581848990040620895762094227161	-0.580607068734413658947215786
0.9625	3.37264071059693339804487931247	3.401588284584515290150196	-0.594918400512527616695965130311	-0.593706550144070321180882488
0.975	3.38106148367122773019465510649	3.410892918126320805114818	-0.60732486938446253342175920065	-0.606146654364929244444068865
0.9875	3.38962634361318241367806906863	3.420353450187051843057533	-0.619054975054900420908853706363	-0.617913907281627738818026228
1.	3.39833658725624466670250735015	3.4299710037722311687039	-0.630096050592550147476732180429	-0.628995585400690146865046661
1.0125	3.40719351976985609363733013944	3.439746717813365001330095	-0.640436193912879040922993460109	-0.639379726803148709091258068
1.025	3.41619845393749331901885134651	3.449681746807549147525652	-0.650064277129181099526020118901	-0.649055141242966933103781154
1.0375	3.42535270939300071838107235791	3.459777260342456855048709	-0.658969955106443824765427730247	-0.658011419412592464301014071
1.05	3.43465761181338982452801214357	3.470034442507233985124143	-0.667143673246436807120290304908	-0.666238941397748662638541268
1.0625	3.44411449206622215354457273784	3.480454491189830213031655	-0.674576674532214762330377725162	-0.673728884343958866539296869
1.075	3.45372468530963381912098277459	3.491038617261212817786057	-0.681261005859611199475827408454	-0.680473229357290776629272895
