lambda	x	y	z
0.	2.1757131728816854	0.	2.175713172881685
0.03	2.1613179612614832	0.30482842642893404	2.169005664328438
0.06	2.118293507309556	0.6064814957362478	2.148918994068404
0.09	2.0471225823050623	0.9018146186030183	2.115560649357694
0.12	1.9486058739768242	1.1877471296767612	2.0691095071517367
0.15	1.8238535055819227	1.4612966450281868	2.00981541306669
0.18	1.6742723755876945	1.7196113075829094	1.9379985563891542
0.21	1.5015516570360892	1.9599986144910853	1.8540486081761514
0.24	1.307647094366502	2.1799525511295292	1.7584235836249718
0.27	1.0947621150926838	2.377180814643446	1.6516483864724387
0.3	0.8653239685892793	2.5496314130664346	1.5343129925059886
0.33	0.6219558799084853	2.6955163827273974	1.407070231498737
0.36	0.3674479478621569	2.813331462014955	1.2706331320309157
0.39	0.10472809527804039	2.9018724611428377	1.12577180158486
0.42	-0.16316830981081018	2.9602493123212157	0.973309824694636
0.45	-0.43313215993581866	2.9878973784801905	0.8141201743386057
0.48	-0.702017464767511	2.9845846111833256	0.6491206455950669
0.51	-0.9666788005149872	2.9504138716691295	0.47926883514548024
0.54	-1.2240069114273657	2.8858211463911507	0.3055567047465079
0.57	-1.4709623670211847	2.7915706471014325	0.1290047805181848
0.6	-1.7046089728177953	2.668746609204572	-0.04934394794876911
0.63	-1.9221478715075135	2.5187406216935173	-0.22843035476503548
0.66	-2.1209509495756986	2.3432339873669954	-0.40718565022100656
0.69	-2.2985910031851153	2.1441763032314296	-0.5845379137664537
0.72	-2.452867402712088	1.9237621450952853	-0.7594186023239682
0.75	-2.5818281843090656	1.6844064918632635	-0.9307689519030091
0.78	-2.6837901052055213	1.4287177645186666	-1.0975461969391425
0.81	-2.757356701008	1.1594673121299794	-1.2587295411994275
0.84	-2.801432742283061	0.8795561586314671	-1.4133258259396464
0.87	-2.815233750462119	0.5919816139685855	-1.5603748546115297
0.9	-2.7982910612033107	0.2998056934983851	-1.6989543480498879
0.93	-2.7504540414569014	0.0061246981183478945	-1.8281845189313732
0.96	-2.6718901264130883	-0.2859622304492913	-1.9472322686053976
0.99	-2.563081690362844	-0.5733862444943036	-2.055315022420126
1.02	-2.424818761292146	-0.8531413456843462	-2.1517042307576713
1.05	-2.258188404810118	-1.12231340064465	-2.2357285716266087
1.08	-2.0645627191660583	-1.3781053795804248	-2.306776896450836
1.11	-1.8455859342000978	-1.6178615059751618	-2.364300963410448
1.14	-1.603158883735062	-1.839092311564037	-2.407818002258226
1.17	-1.3394195416684755	-2.0394990673250257	-2.4369131510366775
1.2	-1.0567213000352682	-2.216994500453555	-2.4512417987819353
1.23	-0.7576119623663958	-2.369719330920616	-2.4505318594814964
1.26	-0.44481361978113376	-2.4960571906906464	-2.434585991724384
1.29	-0.12120033931540605	-2.59464959334125	-2.4032837662091655
1.32	0.21022829097169102	-2.6644094070211928	-2.35658377018955
1.35	0.546375613523045	-2.704530643689389	-2.2945256247140393
1.38	0.8840748147906603	-2.714494963246066	-2.2172318778451605
1.41	1.2201139025506418	-2.6940769444523456	-2.124909725601106
1.44	1.5512616592749826	-2.6433485209690675	-2.0178525027790313
1.47	1.8742967659126604	-2.5626806578977073	-1.8964408786510263
1.5	2.186038815952527	-2.4527407527852065	-1.76114368821994
1.53	2.4833781507272152	-2.314486770108266	-1.6125183285992208
1.56	2.7633031888287465	-2.1491602730908914	-1.4512106522945427
1.59	3.0229266850936645	-1.9582787320424986	-1.2779542946962263
1.62	3.259512824167046	-1.7436250572915075	-1.0935693817324796
1.65	3.4705050041730794	-1.5072323608900522	-0.8989605749920584
1.68	3.6535522621303596	-1.251364558175367	-0.6951144251337498
1.71	3.8065326672069046	-0.9784955152358402	-0.4830960193432495
1.74	3.927573913428841	-0.6912885280764695	-0.2640449241488994
1.77	4.015072377077945	-0.392575021180636	-0.03917044017377057
1.8	4.067710985473736	-0.08532987225156778	0.19025380051559826
1.83	4.084474746046586	0.22735747561122255	0.4228958517529612
1.86	4.064662669684472	0.542313865847813	0.6573720333151468
1.89	4.007896199320238	0.8563120790267905	0.8922540157261952
1.92	3.914125319026755	1.1660984708160151	1.1260763496359898
1.95	3.7836328792798355	1.4684207833233334	1.3573443811446595
1.98	3.6170361722952933	1.7600585294149638	1.5845424996569597
2.01	3.4152845094884046	2.0378554892912164	1.8061426733035961
2.04	3.179653128182828	2.2987512006128505	2.020613237994827
2.07	2.911735333740721	2.539809001652588	2.2264279188968765
2.1	2.613434164433861	2.758241496272863	2.4220750764926753
2.13	2.2869524437842186	2.9514363908434738	2.6060671822392965
2.16	1.9347788194328492	3.1169840099804733	2.776950539944465
2.19	1.559669287803293	3.252704428910425	2.933315277144746
2.22	1.1646268435505018	3.3566713011581353	3.0738056348466096
2.25	0.7528821627097767	3.4272322663225	3.197130582996919
2.28	0.3278745760533204	3.4630286041437564	3.3020747821925402
2.31	-0.10677073877579603	3.4630156927290128	3.3875098988856367
2.34	-0.5472717134113925	3.426482293514189	3.4524062614642763
2.37	-0.9897217088570684	3.3530658895686623	3.495844818206318
2.4	-1.4301206433750822	3.2427645697937604	3.5170293257169996
2.43	-1.8644048195302607	3.0959482287678535	3.515298658968404
2.46	-2.288480118432334	2.9133692232623045	3.4901390927719476
2.49	-2.698261675660094	2.6961688644672734	3.4411963611441427
2.52	-3.0897174979551663	2.4458771915794295	3.368287257651066
2.55	-3.4589114648488324	2.164408060435085	3.271410498832008
2.58	-3.8020448934347866	1.8540528825128142	3.1507565368302006
2.61	-4.115499600283025	1.5174722875427527	3.0067159791372022
2.64	-4.3958843061067014	1.15768116360945	2.8398862555967086
2.67	-4.640082385065199	0.7780241880837425	2.651076168027537
2.7	-4.84529747974265	0.3821440104283154	2.4413079681446423
2.73	-5.009095619905804	-0.026053602781975514	2.211816636437865
2.76	-5.129444785293353	-0.44243650039577476	1.964046079109267
2.79	-5.204752316304125	-0.862687927946275	1.6996420219545851
2.82	-5.233898243386722	-1.2823567116900596	1.420441458060236
2.85	-5.216261731297095	-1.6969149691790568	1.1284585981563482
2.88	-5.1517395499113565	-2.101818630805253	0.825867375152472
2.91	-5.040757519214914	-2.492566744760378	0.5149806635853675
2.94	-4.884275620095946	-2.864759606883201	0.19822648549201474
2.97	-4.683785331708491	-3.2141583521696737	-0.12187841880731498
3.	-4.4412967096937725	-3.5367468298523765	-0.4427571788838364
3.03	-4.159314550002461	-3.8287925345610025	-0.7618029821357757
3.06	-3.8408059373214694	-4.086901699355805	-1.0764102384310952
3.09	-3.48916219773079	-4.308066148291864	-1.3840060574021948
3.12	-3.108155879395925	-4.4897032236408165	-1.6820813585797483
3.15	-2.701890790803753	-4.629690925299695	-1.9682209449754344
3.18	-2.2747437921560394	-4.7263977575986535	-2.240131906735538
3.21	-1.8313007281258213	-4.77870415746506	-2.4956697810160007
3.24	-1.376291564045817	-4.786013098014014	-2.732861973874916
3.27	-0.9145281371343777	-4.748250738350347	-2.9499280452776673
3.3	-0.4508435446420036	-4.665859961126715	-3.1452965640731296
3.33	0.009969851431578788	-4.539788159123326	-3.3176183504864736
3.36	0.463223823645467	-4.371467992827373	-3.4657760337837864
3.39	0.9043944171829906	-4.162789866352993	-3.5888899571924653
3.42	1.3291736947499715	-3.9160677912117183	-3.686320556509605
3.45	1.7335128897268608	-3.6340021397069777	-3.7576674196337634
3.48	2.1136613978462093	-3.3196406729183137	-3.8027652991226044
3.51	2.4662045085883673	-2.976335945568148	-3.821677397545482
3.54	2.7880970314536335	-2.607697835794284	-3.8146862756920066
3.57	3.0766878297797238	-2.2175442300341994	-3.78228274742341
3.6	3.3297348277623784	-1.8098545092226368	-3.725153123742844
3.63	3.545415006930721	-1.3887262417115864	-3.6441651547642895
3.66	3.7223325661366085	-0.9583309996872625	-3.540352994335079
3.69	3.859523384994233	-0.522867104171239	-3.4149014809646356
3.72	3.95645267986877	-0.08651287158210502	-3.2691299932749573
3.75	4.013006421540926	0.3466145748194413	-3.104476101083806
3.78	4.029479790858667	0.7724946793730377	-2.9224791968074846
3.81	4.006564101850107	1.1872373575244708	-2.72476425805947
3.84	3.945330496796859	1.5871184475858635	-2.513025862573501
3.87	3.8472088273959035	1.9686147295756076	-2.2890125518389968
3.9	3.7139629726312187	2.3284342205199504	-2.0545116205428586
3.93	3.5476652659023853	2.663540200301329	-1.8113343950406604
3.96	3.3506707986486695	2.971171462957366	-1.5613020551983396
3.99	3.125589717421807	3.24886193351595	-1.3062320492909212
4.02	2.875255705374542	3.4944597909749437	-1.0479251502148186
4.05	2.6026915947124456	3.7061434042668395	-0.7881532019206654
4.08	2.3110751090563424	3.8824318153331796	-0.5286476065169728
4.11	2.0037065492614436	4.02219028159606	-0.2710886037914664
4.14	1.6839771679442852	4.124633157000832	-0.017095394944629697
4.17	1.3553356480302252	4.18932536629095	0.23178283967569244
4.2	1.0212521366481973	4.2161814825522015	0.4740749836554781
4.23	0.6851824026073712	4.205460698920505	0.7083950507062635
4.26	0.35053529277684636	4.15775745691512	0.9334482465905345
4.29	0.02064399180054542	4.073989195399345	1.1480360122962727
4.32	-0.30126137640295847	3.9553825798372433	1.3510600489060745
4.35	-0.6120821562312346	3.8034579983164933	1.5415253408646692
4.38	-0.9088798478220428	3.620011226472027	1.7185422111029098
4.41	-1.1889018320292355	3.407092167331865	1.8813274578384662
4.44	-1.4496019013828838	3.1669821502289768	2.029204637966877
4.47	-1.6886568191176408	2.902171244481908	2.1616035749769056
4.5	-1.903982051812826	2.615335246597203	2.278059179592879
4.53	-2.0937479633382283	2.3093107404116675	2.3782096783475537
4.56	-2.256394362170759	1.9870678236200612	2.4617943486964013
4.59	-2.390640541075713	1.6516824928140048	2.5286508589712064
4.62	-2.495490812650791	1.3063110216372142	2.578712307508238
4.65	-2.5702383740587784	0.954165952186169	2.612004047928168
4.68	-2.614469417826617	0.598490788395179	2.62864037720579
4.71	-2.6280660356570698	0.24253180973383387	2.628821150393677
4.74	-2.6112053958392982	-0.11049065482524652	2.6128283713002265
4.77	-2.564355375550472	-0.4574079493217399	2.581022792779224
4.8	-2.4882691303807745	-0.7951258247626352	2.5338405443069174
4.83	-2.383979433728015	-1.1206477963028652	2.4717897889445766
4.86	-2.2527906531347686	-1.4311013424526076	2.395447397320564
4.89	-2.096266630106159	-1.7237647825848272	2.305455613569446
4.92	-1.916215853124953	-1.9960913138284595	2.202518677807146
4.95	-1.7146763466887363	-2.2457297684688613	2.0873993621675053
4.98	-1.4939000919286762	-2.470544612666164	1.9609153730194844
5.01	-1.2563343329822934	-2.668636859911498	1.8239355709286182
5.04	-1.0045982500636779	-2.838364607984646	1.6773759622727356
5.07	-0.741456667776328	-2.978360764531081	1.5221954220622638
5.1	-0.46979360627533834	-3.0875471722878034	1.3593911161818075
5.13	-0.19258627074700474	-3.165146236232954	1.1899936025400293
5.16	0.08712261438805695	-3.2106909672208364	1.015061603926969
5.19	0.36625609984770047	-3.2240327133566273	0.8356764600529774
5.22	0.6417371734082666	-3.20534506218277	0.6529362815167165
5.25	0.9105228921415346	-3.155123397542896	0.4679498435089309
5.28	1.169636407589776	-3.0741809636290065	0.2818302710903219
5.31	1.4161974676363889	-2.9636422517079204	0.09568858011546899
5.34	1.6474533627664647	-2.8249332249773405	-0.08937285236763189
5.37	1.8608108907331582	-2.65976714860016	-0.27226680767474204
5.4	2.053867452397336	-2.4701257433145405	-0.45192765108644883
5.43	2.2244386895722483	-2.2582370110707863	-0.62731757980714
5.46	2.3705818402673815	-2.026551398592657	-0.7974326133660365
5.49	2.490616117076522	-1.7777164871827065	-0.9613082536252939
5.52	2.5831415256490304	-1.5145488862647027	-1.1180247515308417
5.55	2.647055703063906	-1.2400024456435677	-1.2667119300212002
5.58	2.6815669022420203	-0.9571340143062838	-1.4065535263981603
5.61	2.6862019419845335	-0.6690693369926229	-1.5367910321862908
5.64	2.6608098882838767	-0.3789705136057084	-1.6567270232676838
5.67	2.605563026791547	-0.09000391731855625	-1.7657279870993814
5.7	2.520955431604271	0.19469342699314865	-1.8632266663993067
5.73	2.4077979090047283	0.472048989638563	-1.94872394922288
5.76	2.267208471132928	0.7390887585994736	-2.021790343384398
5.79	2.100599369854958	0.9929675793875004	-2.0820670783950845
5.82	1.9096624388793453	1.2309962427064898	-2.129266880347893
5.85	1.6963527878321294	1.4506679871273227	-2.1631744644923647
5.88	1.4628690717732329	1.649685580349834	-2.1836467867813156
5.91	1.2116295634610936	1.8259867997829247	-2.190613089740242
5.94	0.945246060975954	1.9777655355808132	-2.1840747700347887
5.97	0.6664981176867248	2.103488726663094	-2.1641050856078974
6.	0.37830705770369316	2.2019115900318993	-2.1308487098108317
6.03	0.08370693799594965	2.2720919765477525	-2.084521129185023
6.06	-0.21418844182731842	2.313401884471613	-2.0254078711008776
6.09	-0.512219805978025	2.3255343725145194	-1.9538635379456109
6.12	-0.8072150258544463	2.3085066743094913	-1.8703106165529322
6.15	-1.0960204382995222	2.2626612112612245	-1.775238025591023
6.18	-1.3755334409449353	2.1886642962100438	-1.669199360087055
6.21	-1.6427374194684492	2.087500638253846	-1.552810791463611
6.24	-1.8947370334396012	1.9604627544408182	-1.4267485835593252
6.27	-2.12879113308825	1.8091366339417898	-1.291746190114558
6.3	-2.3423426294993055	1.6353854356256343	-1.1485909069799787
6.33	-2.533046687677135	1.4413310973567197	-0.998120062550289
6.36	-2.6987982985608854	1.2293320232626017	-0.841216742185562
6.39	-2.8377583365182133	1.0019557603896656	-0.678805056078684
6.42	-2.948376120594917	0.7619479791072646	-0.5118449744743822
6.45	-3.0294074164331715	0.5122003038177876	-0.3413267685916605
6.48	-3.0799284090753645	0.25571817119731055	-0.168265109272167
6.51	-3.099346516850987	-0.00441242647905891	0.006307112481524937
6.54	-3.087407827712846	-0.2650609549450487	0.18134516898388794
6.57	-3.0442000239952574	-0.5230907814513025	0.3557990021154507
6.6	-2.9701501826843337	-0.7753975108347285	0.5286197671395365
6.63	-2.866018154729998	-1.018944756860163	0.6987663283495936
6.66	-2.7328866639605267	-1.2507971789030243	0.8652116237351132
6.69	-2.5721482863852607	-1.4681525005349312	1.0269488220713028
6.72	-2.3854884201431235	-1.6683735805597262	1.1829972049922843
6.75	-2.1748637952490464	-1.8490192417134468	1.3324077181792253
6.78	-1.9424776998435227	-2.0078713023229695	1.4742681491347223
6.81	-1.6907539273824892	-2.1429566358424186	1.6077079033870634
6.84	-1.4223102340293807	-2.252565510535232	1.7319023655958756
6.87	-1.1399301325473812	-2.33526808370618	1.8460768461447055
6.9	-0.8465316673432449	-2.3899290867891536	1.9495101266876522
6.93	-0.5451339908250219	-2.4157188563526137	2.041537629135535
6.96	-0.23882456228207194	-2.4121194441589298	2.1215542412125052
6.99	0.06927117090329081	-2.3789268604547944	2.18901683761629
7.02	0.376018911333947	-2.3162514050468337	2.243446538758887
7.05	0.678306176382845	-2.224516207592748	2.2844307489906175
7.08	0.9730747054282414	-2.1044522008372084	2.3116250132137774
7.11	1.2573515173937704	-1.9570888079600053	2.3247547251101977
7.14	1.5282760091005636	-1.7837422508851095	2.323616712205321
7.17	1.7831242889886412	-1.586003428926198	2.308080713142088
7.2	2.019333801901071	-1.3657243366015936	2.2780907513999082
7.23	2.234528735237047	-1.12500044207368	2.233666397886162
7.26	2.4265435773146953	-0.8661489293604162	2.174903903003893
7.29	2.593442812679655	-0.5916857379110647	2.101977167620514
7.32	2.733537714535066	-0.3043035048694569	2.015138512468061
7.35	2.8454021753830987	-0.006848949120730072	1.9147191974843332
7.38	2.9278875492155527	0.2977032175777664	1.801129636966256
7.41	2.98013469089562	0.6062802788794381	1.6748592535528348
7.44	3.001582140208854	0.9157426875331555	1.5364759142555047
7.47	2.991971344033172	1.2229137449026841	1.3866248951220732
7.5	2.9513501724761766	1.5246080124735357	1.2260273276035962
7.53	2.8800743713266415	1.8176608178644753	1.0554780890598154
7.56	2.7788052832692154	2.098960164686017	0.8758431116840729
7.59	2.6485030010721835	2.365479547783413	0.6880560978880657
7.62	2.4904161262032636	2.614308901527013	0.49311464515941117
7.65	2.3060699785036616	2.842682445855643	0.29207579879212636
7.68	2.0972535255283478	3.0480045710445216	0.08605106583499762
