u	RehFC	RehFCgeo
0.	0.03228602282400981	0.057041274598644394
1.	0.0262155996366457	0.04800174750696439
2.	0.013762558571266518	0.03293934815241116
3.	-0.003355078550543438	0.013270072979742564
4.	-0.022750363505685166	-0.009117552315405885
5.	-0.04171927026404657	-0.03205276796068908
6.	-0.05759223898555557	-0.05329242394940646
7.	-0.06804503451855665	-0.07073129699192997
8.	-0.07134989015088698	-0.0825957254710542
9.	-0.06656176692148574	-0.08760591669762116
10.	-0.05363729878361992	-0.08509497638300101
11.	-0.03347852927379611	-0.07507551809856275
12.	-0.007887201472657429	-0.05824781923513936
13.	0.020584179050290762	-0.035947189845034755
14.	0.04888699925363498	-0.010032705545437323
15.	0.07381900755110912	0.017275345944249027
16.	0.09241397182804445	0.043596463464372404
17.	0.10232160454495509	0.06661148949082292
18.	0.10211771457665804	0.08428315646245452
19.	0.09149637901570787	0.09505261360055971
20.	0.071318830119403	0.09799033620397725
21.	0.04352004272437249	0.09288422630714721
22.	0.010895644640782848	0.08025470816204014
23.	-0.023196284743009457	0.06129527506104659
24.	-0.05518201593042835	0.037745963252855744
25.	-0.08163526790043811	0.01171520704618389
26.	-0.09962919135262566	-0.014528772452506382
27.	-0.10705138857668982	-0.03877329420042541
28.	-0.10285394090221481	-0.059060251756767525
29.	-0.08720776833730295	-0.07384956349226718
30.	-0.06153259801668863	-0.08213356427927986
31.	-0.02838427254433153	-0.08349562572294697
32.	0.008799629463118915	-0.07811282182421228
33.	0.04607090107956866	-0.06670782134207946
34.	0.07941176353254152	-0.05045887217729051
35.	0.10518628496875514	-0.030878706542182194
36.	0.12054254897971609	-0.009673794982072112
37.	0.12371779602853998	0.011404818186402004
38.	0.11421743791211653	0.030708305638494273
39.	0.09285773734705889	0.04682404329816284
40.	0.061675985516791515	0.05868666531372812
41.	0.02371993943322462	0.06565665866395722
42.	-0.017267184293078972	0.06755839875283123
43.	-0.05724404790083908	0.06467228601935471
44.	-0.0923182317289376	0.057679936509961865
45.	-0.11919565826785589	0.04756694525654579
46.	-0.1355714468235564	0.035493808893908275
47.	-0.14039663262600385	0.022651003869328442
48.	-0.13396653674736678	0.01011768775605759
49.	-0.11780579788782698	-0.0012560352566030357
50.	-0.09436686937753647	-0.010926378818292712
51.	-0.06660154790950804	-0.018682061511424056
52.	-0.0374948953029236	-0.02461734755559882
53.	-0.009656936258554513	-0.029059033878251744
54.	0.014953229065881916	-0.032462408012624996
55.	0.03513720063543088	-0.03529624836162299
56.	0.050414385206175	-0.03793804865789311
57.	0.06087707392169458	-0.04059763397596398
58.	0.0670094164052008	-0.04328092114353405
59.	0.0695264816410251	-0.0457972204488177
60.	0.06926162781123017	-0.047805011956454944
61.	0.06709780770179542	-0.04888432485079476
62.	0.06391573727580636	-0.04861999073489353
63.	0.06052830930259528	-0.04667966993595249
64.	0.05758641977215194	-0.04287337972514098
65.	0.05546778126666635	-0.03718631592323262
66.	0.054183792013405604	-0.02978269680310729
67.	0.05334788951521313	-0.020983790722516407
68.	0.052236623185685054	-0.011227150358181165
69.	0.04994576637342318	-0.001015833116876285
70.	0.04560961379367075	0.00913390619323144
71.	0.03862629851394953	0.018739770533050894
72.	0.028826211277686926	0.027391261785116593
73.	0.016537133483351237	0.034776472210362154
74.	0.0025321730685200646	0.04069784222886044
75.	-0.012117555941499486	0.045077744857049476
76.	-0.02623778637966297	0.04795481890375294
77.	-0.03873878562395971	0.04947163416869352
78.	-0.0487536974390721	0.04985400395615613
79.	-0.05571020059236184	0.04938244697849305
80.	-0.05934384292223414	0.04835710456819224
81.	-0.059677358920276244	0.0470587272818373
82.	-0.05699124728258568	0.04570980544457492
83.	-0.05179887471374998	0.0444410489571076
84.	-0.04482218436342599	0.043268758233212266
85.	-0.036951378079954536	0.042087866092466376
86.	-0.029170656861223762	0.04068352509891715
87.	-0.022443362356350464	0.03876131257875777
88.	-0.017568623704493087	0.03599292072832907
89.	-0.015039158554125536	0.03207122850674187
90.	-0.014937864444913174	0.026766552003792063
