lambda	rg	rdh	zg	zdh
0.	3.076923076923076923076923076923	3.079574218111538	0.7071067811865475244008443621048	0.6967702122397278
0.0125	3.076968613976687192387640642293	3.0796297251791813	0.7067151023643162827827239580163	0.6963326888363007
0.025	3.077105233850252450120809014436	3.079778551054718	0.7055404823839895035502624646982	0.6951128446885931
0.0375	3.077332962682665879145596350078	3.0800207750033093	0.7035841704354591793539186304613	0.6931118210752187
0.05	3.077651844041046221017104095589	3.0803565044994707	0.7008482476029178923386176508184	0.6903315815894161
0.0625	3.078061938924173563322790229039	3.0807858697506663	0.6973356255108443785054351828101	0.6867749304284747
0.075	3.078563325767280684439392894642	3.081309020093029	0.6930500444173063779935973519829	0.6824455270318649
0.0875	3.079156100448181147036335965799	3.0819261228543375	0.6879960707436659094405838051258	0.6773478946428388
0.1	3.079840376294709884622519880278	3.0826373648745173	0.6821790940268836009408923925609	0.6714874213656685
0.1125	3.080616284093446523396554341254	3.0834429564267727	0.6756053232779000814444617022212	0.6648703535170537
0.125	3.081483972099686112241491180654	3.0843431368705447	0.6682817827270585111780546635055	0.6575037823040031
0.1375	3.082443606048616284422105139842	3.085338181063975	0.6602163069352561978145089127084	0.6493956258796492
0.15	3.083495369167654132798796382572	3.086428405423903	0.651417535247505961426731726643	0.6405546094512473
0.1625	3.084639462189890233437657673643	3.087614172573122	0.6418949055638782059148071123518	0.6309902462330036
0.175	3.085876103368581287491447997961	3.0888958937515922	0.6316586474014086550961527914258	0.6207128216357514
0.1875	3.087205528492626755103922564755	3.090274028551455	0.6207197742195176783484952509942	0.6097333822470579
0.2	3.088627990902958614618179880181	3.0917490819991866	0.6090900749808152082366756922813	0.5980637300404633
0.2125	3.090143761509766982114455714295	3.0933215994707997	0.5967821049188772398815028896447	0.5857164210726468
0.225	3.091753128810477756611240132223	3.094992160305403	0.5838091754846890434859435905433	0.5727047669038133
0.2375	3.093456398908391701247077103013	3.0967613712099347	0.5701853434439660230155631617881	0.559042836299867
0.25	3.09525389553188741627791282917	3.0986298605810534	0.5559253990984912247226335845112	0.5447454545686236
0.2625	3.097145960054083491366628184835	3.100598274700677	0.5410448536059504243710848154619	0.5298281981806521
0.275	3.099132951512847727712820385371	3.102667276417433	0.5255599253744989687500624010353	0.5143073830672942
0.2875	3.101215246631033680076772632491	3.104837546467045	0.5094875255104524054730732393591	0.4982000460297327
0.3	3.103393239836816869380632983683	3.1071097870915345	0.4928452423000444979703858691961	0.4815239198339616
