lambda	rg	rw	rdh	zg	zw	zdh
0.	3.076923076923076923076923076923	2.328255320969865296800054029709	3.07808466614851790956914902349	0.7071067811865475244008443621048	0.6987492290752971866797664624581	0.706366015303566933244922826725
0.0125	3.076950265231900279365418392258	2.32827352571925957323456992	3.078132191456122465478366641	0.706726441412771690941137829297	0.698371704687142949031274067374	0.7059746680656319890431136834
0.025	3.077031833264304772398884789976	2.32832815386800175300966686	3.07827478586742859709327588	0.705585814811628113072736802794	0.69723952713745239032037530317	0.70480104689258016728898524734
0.0375	3.077167790338240558506222620399	2.3284192471053186066870225	3.0785125048338847251542562	0.703686079297182557083638153521	0.69535388298385809667628734199	0.702846413094734133803565868
0.05	3.077358151984113837842419641722	2.32854687487149601063474103	3.07884544072751434223711446	0.701029197236503709817648135825	0.6927167488655471618861680703	0.7001128678147620491785453252
0.0625	3.077602939945519574003493756759	2.32871113429435422525553463	3.07927372276930614444696283	0.697617914210145334814914940469	0.6893308900635904606200749943	0.6966033504609438169141751947
0.075	3.077902182180264920235736915954	2.32891215009855462377890693	3.0797975169269295676594895	0.693455757266968574470696450811	0.685199858476736045573074639	0.6923216365039690523080563705
0.0875	3.078255912861680967110209211629	2.3291500744860132204161724	3.0804170257797858641946008	0.68854703266359165504268613505	0.6803279900041666993023211799	0.6872723346276866226351837053
0.1	3.07866417238021973952508852278	2.3294250869852522637462768	3.0811324883488946726792492	0.68289682307617787448664728754	0.6747204013245302645197859762	0.6814608832217636782389223035
0.1125	3.079127007345332679726324757	2.3297373942671137166294301	3.0819441798886497329342289	0.6765109842698431796205105973	0.6683829860585338306417426061	0.6748935462019517436606320963
0.125	3.07964447058762615676841449851	2.3300872299238958788976198	3.0828524116370648019914685	0.66939614120871203976856204735	0.6613224103005833803871184771	0.6675774081416380971968343603
0.1375	3.08021662116128884053491693119	2.3304748542086649585784265	3.0838575305207817176244508	0.66155968358760341278907565655	0.653546107503380692541404445	0.659520368696618596825479941
0.15	3.08084352434678506916026910523	2.3309005537312452316708992	3.0849599188108365888738829	0.65300976076451438234623241523	0.6450622726980876963303847901	0.6507311363035958770247887273
0.1625	3.08152525165380762149220104963	2.331364641107212569987642	3.0861599937249866866934192	0.6437552760715125771707015235	0.6358798560316601521678242015	0.6412192211318128233398208457
0.175	3.0822618808244825801524536939	2.3318674545561143190791636	3.0874582069722987901790908	0.63380588048037263285147706264	0.626008555602258713763742596	0.6309949272664991652421508294
0.1875	3.08305349583681823482980613774	2.3324093574451211268550066	3.088855044235697966996682	0.62317196559831718428368261455	0.6154588095732831289110230675	0.620069344102457598818349696
0.2	3.08390018690838922870245798614	2.3329907377743901359203086	3.0903510245882816851976068	0.61186465596856702252434482109	0.6042417875465570793499745402	0.608454336926158347732414498
0.2125	3.08480205050024639235622516673	2.3336120076005899633909807	3.0919466998394243711443254	0.59989580065008313863150105878	0.5923693811755247105421056319	0.596162536665155107326075035
0.225	3.08575918932104193825044861024	2.3342736023953111106272681	3.0936426538070373164091929	0.58727796405090744082041194316	0.5798541940000080874162785699	0.583207328784482634829373253
0.2375	3.08677171233135890368387323559	2.3349759803354646455776477	3.0954395015128118341593322	0.57402441598988784950625876139	0.566709530485115404803422876	0.56960284131094261539780039
0.25	3.08783973474823293031537443813	2.3357196215232594661406548	3.0973378882978614671370167	0.56014912096231283797548282413	0.552949384248275463592017796	0.555363931967819640034507561
0.2625	3.08896337804985365257431780739	2.3365050271339447197953226	3.0993384888568912939042746	0.54566672658608248333766855543	0.538588425460092339961165131	0.54050617440457710386259491
0.275	3.09014276998043213471447705194	2.3373327184902075568202507	3.1014420061898558543847814	0.53059255120650642431063953876	0.523641987406748078917685554	0.525045843508441864459780752
0.2875	3.09137804455521994577190075907	2.3382032360629236273094964	3.1036491704710159873184059	0.51494257063963894610637871244	0.508126052204008743892491761	0.508999899787469603557544027
0.3	3.0926693420656645922144061674	2.3391171383988624449427205	3.105960737836359967780103	0.49873340403622931489475100157	0.492057235655484063978480078	0.492385972817658224353512438
0.3125	3.0940168090846851385366371618	2.3400750009769431697603864	3.108377489091503580429531	0.48198229885086948900016198984	0.475452771250623204482441436	0.475222343749908303272632111
0.325	3.0954205984720509353619212655	2.3410774149957070224662348	3.1109002283434117152522592	0.46470711490374594470350947316	0.458330493300965507624178327	0.457527926876078123406997712
0.3375	3.0968808693798454416457546458	2.3421249860958061856604891	3.1135297815605720211487429	0.44692630752552863300340458187	0.440708819216369403386251793	0.439322250257003995418722943
0.35	3.098397787257996171203369278	2.3432183330224887029559462	3.1162669950675772644035624	0.42865890977933576564145140144	0.422606730926277113868379843	0.42062543541911048655751628
0.3625	3.0999715238598508128550004247	2.3443580862342649973281236	3.119112733981412602093869	0.40992451375737277745604366942	0.404043755454498121314766254	0.4014581761300750650835985
0.375	3.1016022572477785668277689868	2.3455448864651522838954934	3.1220678805980697855261247	0.39074325095372901022986865957	0.38503994465947112140090107	0.381841716267892911946009751
0.3875	3.1032901717987747064835284532	2.3467793832490844242347818	3.125133332739393159082684	0.37113577171889524135484476498	0.365615854155453278606590582	0.361797826801566770339577529
0.4	3.1050354582100453127483640209	2.3480622334162211654872014	3.128310002071271667919036	0.35112322380580548313927124072	0.345792521433549258372290423	0.341348781905482286254488527
0.4125	3.106838313504548037571556997	2.3493940995719657129535449	3.131598812405395787903723	0.33072723002157166341013318938	0.325591443204895014386620844	0.320517334233282873069818122
0.425	3.1086989410364636310881316923	2.350775648570476303266624	3.135000697997767449319702	0.30996986500353216952763458369	0.305034551991619725507272228	0.299326689380694952401453252
0.4375	3.1106175504965718136258890312	2.352207549995309316245821	3.138516601857954924914068	0.28887363114273560890999909274	0.284144191994394081361031129	0.277800479570244055511191259
0.45	3.11259435791750388698875205	2.353690474660533037905606	3.142147474083695719573483	0.26746143368248921952039799409	0.262943094268408699602381112	0.255962736594119075905346296
0.4625	3.1146295856788432582437618154	2.355225093146178934272573	3.145894270235844278345228	0.24575655502407617084559942662	0.241454351242491491217771165	0.233837864054565358502578291
0.475	3.116723462512043792195925374	2.356812074382230415139132	3.149757949768817426997265	0.22378262827614628261419105324	0.219701390618750427071549474	0.211450608944101822129800032
0.4875	3.1188762235051346144859108087	2.358452084295470270860112	3.153739474531593407063294	0.20156361008856938392754476946	0.197707948692606071654792173	0.188826032610552434565947236
0.5	3.1210881101071786543982732386	2.360145784533404199156258	3.157839807353960374479197	0.17912375281566919248710607877	0.175498043135348491452129108	0.165989481154352202861531681
0.5125	3.1233593701324508436054292424	2.361893831279140905524822	3.162059910732083776815374	0.15648757605768883787152702599	0.153095945283411841664566835	0.142966555307830594433434075
0.525	3.1256902577643004727525534992	2.363696874170536317035833	3.166400745626572260063937	0.13367983763303912714811150537	0.13052615198040682426413424	0.119783079848192536009049638
0.5375	3.1280810335586607505428467418	2.365555555336103345657053	3.170863270385078687593153	0.11072550403731144900129144876	0.107813357019589047633421336	0.096465072597712978328528578
0.55	3.1305319644471671083171744836	2.367470508559158079131093	3.175448439800093285191966	0.08764972044816529495128856693	0.084982422235875176672131274	0.0730387130662412559344296
0.5625	3.1330433237398442455167135567	2.36944235858043279056983	3.18015720431099315673102	0.06447778033799496530206818812	0.0620583482977552660076684	0.049530310792482635098116146
0.575	3.135615391127320316325492631	2.371471720547955851547846	3.184990509357635694220159	0.04123509475871347181229851564	0.039066245250496195196477333	0.025966273441692871975878076
0.5875	3.13824845268252501363873084	2.373559199621403762142586	3.189949294890857158975977	0.01794716136503975480640474001	0.016031302862895020521328996	0.002373074718392625560941921
0.6	3.1409428008618266116934462533	2.375705390736400846707573	3.195034495043200562519383	-0.00536046675568234504288166402	-0.007021239169471089356765202	-0.021222777846514216350703536
0.6125	3.1436987345055612816043936842	2.377910878532411196506291	3.200247037961090612567858	-0.02866221237788482773460743407	-0.030066121111034663763460816	-0.044794775174249520907524978
0.625	3.1465165588379061930193068649	2.380176237445971438948195	3.205587845797541399147394	-0.0519325054863618418862393197	-0.053078093109254369547140203	-0.068316438921937529709255565
0.6375	3.1493965854660460584650433642	2.382502031969089880790454	3.211057834862368643431901	-0.07514581460866417969235234814	-0.076031945099862026753025244	-0.091761353711096478078918819
0.65	3.152339132378580862997343897	2.384888817070726135376393	3.216657915924825822242281	-0.09827667806102717920720953784	-0.09890253664032909605733716	-0.115103199240304365079182531
0.6625	3.1553445239431205487631363379	2.387337138777403620693026	3.222388994661633265302465	-0.12129973503810465578370211492	-0.121664826617698147260289213	-0.138315782221723774601761687
0.675	3.1584130909030103902826281747	2.389847534907231811808047	3.228251972241559000507195	-0.14418975647776817913549794886	-0.144293902777259083566291481	-0.161373068081621464823513182
0.6875	3.1615451703731286998818603092	2.392420535949959704090025	3.23424774603607289010717	-0.1669216756336470845813207628	-0.166765011019069633281238884	-0.184249212365706642207430902
0.7	3.164741105834696341954776229	2.395056666084176869690688	3.240377210444159377809191	-0.18947061828991585513059774475	-0.18905358441003395434386165	-0.206918591791050119827515367
