lambda	rg	rw	rdh	zg	zw	zdh
0.	3.0769230769230775	2.794229893413849	3.0811771609148835	0.7071067811865475	0.6806060352246425	0.6835208531220679
0.0125	3.076961036383648	2.794284655878156	3.081243176597061	0.7067194612979459	0.6800981946965758	0.683017262504048
0.025	3.077074920819689	2.7944029833873767	3.0813982759989096	0.7055579088997491	0.6788182179088158	0.6817309961096556
0.0375	3.077264748394589	2.7945849503984346	3.081642556642889	0.7036233455344659	0.6767670480859355	0.6796630192476687
0.05	3.0775305493819904	2.7948306384270873	3.0819761236545373	0.7009178062370305	0.6739464031080346	0.6768150911439944
0.0625	3.0778723661677847	2.795140124494554	3.0823990768318907	0.6974441382256036	0.6703588218240422	0.673189811766855
0.075	3.0782902532528897	2.795513473563988	3.082911502257108	0.6932059990581017	0.6660077026765768	0.6687906606830774
0.0875	3.0787842772568106	2.7959507362492513	3.0835134698757822	0.6882078542440079	0.6608973288131306	0.6636220220486589
0.1	3.0793545169219594	2.796451952227577	3.0842050374980867	0.6824549742982696	0.6550328762274281	0.6576891922816909
0.1125	3.080001063118738	2.7970171588433366	3.084986260603953	0.6759534312214612	0.6484204043998262	0.6509983699678781
0.125	3.0807240188513503	2.7976464035154884	3.085857206348533	0.6687100943879986	0.641066831860279	0.6435566305647396
0.1375	3.0815234992643274	2.7983397579110525	3.086817969439967	0.6607326258219928	0.6329799015519114	0.6353718909561822
0.15	3.082399631649753	2.799097331539458	3.0878686872318424	0.6520294748384078	0.624168142391621	0.6264528704203114
0.1625	3.083352555455154	2.7999192825177692	3.0890095515029703	0.6426098720255291	0.6146408337439341	0.616809054847645
0.175	3.0843824222920304	2.8008058237443834	3.0902408149715046	0.6324838225434147	0.604407978604492	0.6064506700515304
0.1875	3.085489395944993	2.8017572235186834	3.091562791513848	0.621662098711979	0.5934802893169162	0.5953886679497318
0.2	3.0866736523814833	2.8027738006194975	3.0929758501720315	0.6101562318616965	0.5818691870005912	0.5836347266641828
0.2125	3.0879353797620204	2.8038559148357955	3.09448040414042	0.5979785034196129	0.5695868130472996	0.5712012627040646
0.225	3.0892747784509567	2.805003954755208	3.0960768968261534	0.585141935203414	0.5566460485791098	0.5581014509080968
0.2375	3.0906920610276813	2.806218325113225	3.0977657876133238	0.5716602788967805	0.5430605361050335	0.5443492461889942
0.25	3.092187452298243	2.8074994360962027	3.099547540028043	0.5575480046800929	0.5288446970704557	0.5299594006452121
0.2625	3.093761189307316	2.8088476966533515	3.101422614582303	0.5428202889918041	0.5140137396512339	0.5149474703605585
0.275	3.0954135213504856	2.810263513162074	3.103391467738205	0.5274930013974368	0.4985836528673569	0.49932980804585353
0.2875	3.097144709986782	2.811747293829552	3.105454557325983	0.511582690545175	0.48257118554385364	0.48312354023030124
0.3	3.0989550290513943	2.81329945817042	3.1076123535654814	0.49510656918943724	0.46599381135930884	0.46634653049187974
0.3125	3.1008447646685227	2.814920449961401	3.109865353793909	0.4780824982665496	0.44886968367961694	0.4490173326941967
0.325	3.1028142152642766	2.816610751408368	3.112214098283673	0.4605289700097744	0.43121758561352386	0.43115513990177945
0.3375	3.1048636915795713	2.818370895992531	3.11465918427719	0.44246509009435364	0.4130568814230563	0.4127797352568275
0.35	3.106993516682924	2.8202014776437516	3.117201275623839	0.42391055880696193	0.3944074749516224	0.3939114505083463
0.3625	3.1092040259830895	2.8221031544941173	3.1198411061384363	0.4048856512379505	0.37528977919232065	0.3745711362095534
0.375	3.1114955672414357	2.824076646391572	3.1225794758853467	0.3854111964990081	0.35572469880749125	0.3547801451670829
0.3875	3.1138685005839783	2.826122726440174	3.1254172408371215	0.3655085559732811	0.3357336247702389	0.33456032800400703
0.4	3.1163231985129882	2.8282422078885414	3.128355297539572	0.345199600609602	0.315338437831251	0.3139340372081367
0.4125	3.118860045918047	2.830435928522268	3.131394565322511	0.324506687277204	0.2945615156851441	0.29292413425086183
0.425	3.1214794400864867	2.8327047351778782	3.134535969059994	0.30345263420209184	0.27342573786134633	0.27155399361589017
0.4375	3.124181790713066	2.835049470997712	3.137780425415943	0.28206069551110036	0.2519544826491053	0.24984749800791933
0.45	3.126967519908799	2.837470967580971	3.141128834915414	0.2603545349145009	0.23017161172326972	0.22782902052981963
0.4625	3.1298370622088	2.8399700433326154	3.144582081158387	0.23835819856281978	0.20810144030397268	0.20552339192870456
0.475	3.1327908645790234	2.8425475082162928	3.1481410372197405	0.216096087118228	0.18576869324579134	0.18295585367331366
0.4875	3.1358293864217766	2.8452041739720095	3.1518065779814295	0.19359292708541	0.1631984499262499	0.16015200013152653
