lambda	x	y	z
0.	2.175713172881684690464136498784	0	2.175713172881684690464136498784
0.03	2.16143829089016444079036394925	0.303336165147723407982352096	2.169046874945106347396811459854
0.06	2.1187727010744027634562027999	0.6035274874024048473406878045	2.14908396350706025773065709167
0.09	2.0481928196965794755867275016	0.8974594159357432608003747923	2.11593229985853239632694308658
0.12	1.9504888492864084293483563986	1.182080313138417607141833236	2.06977136160013299191015560454
0.15	1.8267565206824379445216914743	1.454435279451729796486031389	2.01085178814194118816465135204
0.18	1.6783847251034257776564519152	1.7116979651375575951262238513	1.93949471014928843589339028949
0.21	1.5070413057042877796787611886	1.9511990496577854086841408346	1.85609083118228950159892448045
0.24	1.3146576840356671746213378	2.1704530258138675135857718057	1.7610992241536934731239950056
0.27	1.10341043288820822006807426	2.3671850615007977750859198737	1.65504580197649168137109391478
0.3	0.875697998995611140775746746	2.539357320500506190789718196	1.53852142118152000271473720287
0.33	0.634113430467665692940235658	2.6851925549960113786902739341	1.4121795795160665332021830493
0.36	0.381415744223809760952840923	2.8031937622367841238913605763	1.2767336736013418949725380388
0.39	0.120501311187684644869341428	2.8921605602275391145511249261	1.1329537904898402098778913898
0.42	-0.145625981455568201676340774	2.9512032698164044364030889064	0.9816630171292237071729505362
0.45	-0.413887777680010520780904114	2.9797543690868619817651913724	0.8237332638678007943490141486
0.48	-0.681167500137965427741290094	2.9775759556450152103474977981	0.6600806116603844087575701033
0.51	-0.944347407024646514468765036	2.9447624582263924192257533749	0.4916602068838201274886785409
0.54	-1.200343993521388253252138621	2.881739224914093578353780643	0.3194607419146582795458403451
0.57	-1.446141458507697328762061787	2.789257978822635261338592925	0.1444985730994656864387002313
0.6	-1.678824820763714481171665196	2.668389059613078744514848872	-0.0321884602746568301715467506
0.63	-1.895613730650540606432834574	2.520509338152901966165829207	-0.2095474425928876222524687242
0.66	-2.093895811032522753683102552	2.347285192687050566617890913	-0.3865169336066464263432928955
0.69	-2.271257055082424124201567069	2.150651554629979897426427296	-0.5620335807495259145465670084
0.72	-2.4255078554439497890950319	1.932788864676282732047400673	-0.7350387070161046837627311045
0.75	-2.554705376201525045529021571	1.696098734317205830017359554	-0.9044847921371585427374981403
0.78	-2.657173786138495996874116666	1.443177355189428223553470386	-1.0693417708098871733181214322
0.81	-2.73152258206075491672215062	1.176785419556625735412798962	-1.2286030806548618770767681795
0.84	-2.7766615466270377875017858	0.899815081076869902895016838	-1.3812914038668389682493744344
0.87	-2.791810895766780458660047653	0.615256371612985759598668538	-1.5264640595712628357490895378
0.9	-2.776506851130020511865999862	0.326165180174321820035366176	-1.6632180179726656939441700862
0.93	-2.7306041456037746309162961356	0.035632510195919055851708204	-1.7906945217243335723331773221
0.96	-2.654276296258131260994280879	-0.253247040723580210792508345	-1.9080833138037935715785324678
0.99	-2.548012841055369180070432471	-0.537408554704233083304784861	-2.0146264838361428513601780514
1.02	-2.41261244118863941049035476	-0.813849959956426559883091615	-2.1096219556417239501257445341
1.05	-2.249172363367447363343731895	-1.079662093195954738742918563	-2.1924266472855398669719111374
1.08	-2.059076199299592541485285821	-1.332054898422102134561010921	-2.2624593406988932406185179651
1.11	-1.84398063738379875664685078	-1.568382057745043400366518967	-2.319203300804295265768933486
1.14	-1.605799850585871847402443537	-1.786166313643463955303862117	-2.362208683932186903605685009
1.17	-1.34668594145758379649889488	-1.983124535765654617371180799	-2.391094772253363037216801459
1.2	-1.069006573738819893909680668	-2.157189501316379335155275796	-2.405552065187476768274977376
1.23	-0.775322735800580111774839373	-2.306527318169921617405198418	-2.40534425063708994346594417
1.26	-0.468367474853994399209891608	-2.42955262611819251856105187	-2.390310068899879879525604883
1.29	-0.151023004487065139254833894	-2.524943578665496050887573818	-2.360365070778993275351111544
1.32	0.173706211674603356610670982	-2.591655581944766663396061775	-2.315503259358414121530870543
1.35	0.502723018173362911709491534	-2.628931487974469549473679263	-2.255798592791324048755962593
1.38	0.832866235391642021380260109	-2.636308078468886616421649997	-2.181406313931793991590780778
1.41	1.160937245907503763590670152	-2.613620738562007722948405445	-2.092564062374513354202145636
1.44	1.483726841938207502531295453	-2.561007174291459482250333731	-1.989592716058724825464699919
1.47	1.798044838728082535785516837	-2.478908609785296325183760922	-1.872896903570883019959628198
1.5	2.100751874333652960155595994	-2.368066670041003496875671132	-1.742965125071485637607645246
1.53	2.388790511745242875427863231	-2.229516410295262140859867541	-1.600369419670047052858038386
1.56	2.659213788543518183519915563	-2.064577591731280698934737664	-1.445764520220019883412739376
1.59	2.90921205571384335327814907	-1.874845136093642153153787138	-1.279886442874406229075364355
1.62	3.136139991147583457351136852	-1.662177215869005938448435033	-1.103550468125994976143501029
1.65	3.337544109483987291560666617	-1.428678816864786782357866602	-0.917648482069204594765289823
1.68	3.511189049103443466892178861	-1.176680727277481678034679145	-0.7231456607135289742975054729
1.71	3.65508077030656848625630985	-0.908716317209182892737898126	-0.521076495659931065821147763
1.74	3.767486446604818974782011666	-0.627498345026613493958266665	-0.3125401755226394617835616707
1.77	3.846952141702331169761561092	-0.335895487898760161046532869	-0.0986953532787121790899607556
1.8	3.892318875522223336240024396	-0.03690629367559421160818778	0.1192456556152800757239115711
1.83	3.902736237657399834821532498	0.266370831539883725589658893	0.34002318681318827490418838
1.86	3.877672239480450975774824006	0.570770094994289132273131265	0.562336984860392480693845396
1.89	3.816919200742432605195709563	0.873090114684797129996147147	0.784853330937042581635475809
1.92	3.720596716073384682389121955	1.17012341289229126090171153	1.00621246328286284780220063
1.95	3.589152529704435560510622733	1.458684955972996048228440463	1.225036213799099339771855238
1.98	3.42336074294401624144266533	1.735642185044963735041274145	1.439935788856745733159006066
2.01	3.22431608976636024204582663	1.997946931933121570253602747	1.649519630325549388225182145
2.04	2.99342417681360400216526838	2.24266675614504017940335449	1.85240130375042669929332052
2.07	2.73238935250484236220477497	2.46701289622710894860893833	2.047207373725977926498393267
2.1	2.44320194736213701933949864	2.66836467010115326336179807	2.232585240992076032324469125
2.13	2.12812457612577370915382175	2.8442927502549347142035236	2.407210930630255100465608566
2.16	1.78967537096750797922002235	2.99258323508725864399748674	2.569796834971237316531532274
2.19	1.43060695718690721683711127	3.11126147247188538543084758	2.71909942742502254071812818
2.22	1.053882998610497005106384543	3.19861287213740420099477597	2.853926973472200221733753137
2.25	0.662655540941887537803686229	3.25319970808006368411076047	2.973147271670519813650754334
2.28	0.26024387234957537140010835	3.27387589666624745305954789	3.075695460043561029195562772
2.31	-0.149888175205611523480665241	3.25980188795934461855140697	3.160581921119008488380233103
2.34	-0.564159669093251186358094537	3.21045882991433464060881074	3.22690031187055502145405217
2.37	-0.978903645431050291800619391	3.12565933819705022703638816	3.27383573281454935494431892
2.4	-1.39039740477680756340392277	3.00555439755779827764198149	3.30067303368375898868961562
2.43	-1.79489008508766314519863329	2.85063891103673391136202835	3.30680523185388411051428764
2.46	-2.18863071066216981562887028	2.66175733640158215809988342	3.29174199468435770836093205
2.49	-2.56790071059971264003111702	2.44010695563368214865657594	3.25511810903810990814282811
2.52	-2.92905033469239628342445318	2.18723557335834972613527247	3.19670183156699103933991433
2.55	-3.26853487659014893847851522	1.90503429785139865113346341	3.11640298318281719527848462
2.58	-3.58294858415060134461597271	1.59572895914165749193566949	3.01428062192487528541690801
2.61	-3.86905823250061375733656627	1.26187133269710681467700499	2.89055010173528816990503015
2.64	-4.12383894246981289404053855	0.90632685625918948947368553	2.74558930206166480072537617
2.67	-4.34451172361942871226860493	0.53225499811774081383798782	2.57994379629413436888829417
2.7	-4.52857987559613879029452595	0.14308255801375538563150235	2.3943307172771709723923859
2.73	-4.67386248393578869392361602	-0.25752624816596317340231917	2.189641076788648419079686266
2.76	-4.77852571061151152844854746	-0.66570030193335703876816726	1.966940303941530776807988656
2.79	-4.84111296679264707855994517	-1.07739436789003333656643666	1.727466785565553405776601526
2.82	-4.86057306280567874869161481	-1.48842792817173352134546909	1.472628219959419015677668909
2.85	-4.83628387021243167002810289	-1.89453130932578582342475052	1.203995633671966046218100355
2.88	-4.76806997767588739160597648	-2.29139612664541621854926145	0.92329495836085835082845484
2.91	-4.65621502468980111341322702	-2.67472584880171087034823073	0.632396119964161114725611989
2.94	-4.50146998431214490059723502	-3.04028514408397620221435534	0.333299653602749193466564055
2.97	-4.30505682201349012375280764	-3.383950107899470117432288	0.028120922605135836187175268
3.	-4.06866501485430105664667288	-3.70176154789098328054107419	-0.280927913693816586210751158
3.03	-3.79443903972470908947280216	-3.98998022910871960247916999	-0.591557973857986520780474725
3.06	-3.48495778891285032679358371	-4.24514010534021066589324413	-0.901425499653157688605088503
3.09	-3.14320878535642512423860977	-4.46409621819153912327867707	-1.208155148314001867048447344
3.12	-2.77255873976131450284552436	-4.6440671878278814819313447	-1.509364362153968491276562258
3.15	-2.37671887434664100316413266	-4.78267428003380113006085914	-1.802688411525824983838021
3.18	-1.95970233362857010701093035	-4.87797771702815400939813961	-2.08580568493793822236775793
3.21	-1.525773658281192708167232	-4.92850802822071531095487436	-2.35646279085890118367957201
3.24	-1.07939406763962744496424159	-4.9332893868130524270248357	-2.61249903953812622962626828
3.27	-0.62516687430711396795111588	-4.89185409396276683550831938	-2.85186988955463945189622723
3.3	-0.16778381156164074937084772	-4.80424995292640991582290258	-3.07266897173544841178992729
3.33	0.28803065875528548850770642	-4.67104212884466726580733053	-3.27314834102851838363034899
