u	RehDH	RehDHgeo
0.	0.05752681349644104	0.057041274598644394
1.	0.04749651638218039	0.04800174750696439
2.	0.03164295912024501	0.03293934815241116
3.	0.011600638226885857	0.013270072979742564
4.	-0.010660294801927449	-0.009117552315405885
5.	-0.03305104609890564	-0.03205276796068908
6.	-0.053545674427188245	-0.05329242394940646
7.	-0.07031832372466551	-0.07073129699192997
8.	-0.08184466435237382	-0.0825957254710542
9.	-0.08698435432727569	-0.08760591669762116
10.	-0.08505860746599088	-0.08509497638300101
11.	-0.0759254809689192	-0.07507551809856275
12.	-0.06004098416559834	-0.05824781923513936
13.	-0.03848333001380111	-0.035947189845034755
14.	-0.01291576685744447	-0.010032705545437323
15.	0.014527941581927528	0.017275345944249027
16.	0.04143462670759845	0.043596463464372404
17.	0.06535938295392126	0.06661148949082292
18.	0.08409429391918703	0.08428315646245452
19.	0.09591598028482953	0.09505261360055971
20.	0.09977350861176672	0.09799033620397725
21.	0.0953907354230026	0.09288422630714721
22.	0.08327411057191562	0.08025470816204014
23.	0.06463320722345563	0.06129527506104659
24.	0.04123279447911561	0.037745963252855744
25.	0.015200501517561719	0.01171520704618389
26.	-0.01118608172608132	-0.014528772452506382
27.	-0.035712189755827614	-0.03877329420042541
28.	-0.05642138674954327	-0.059060251756767525
29.	-0.07177900864004455	-0.07384956349226718
30.	-0.08079023995154767	-0.08213356427927986
31.	-0.0830616376475842	-0.08349562572294697
32.	-0.07879940170423408	-0.07811282182421228
33.	-0.06874525998101144	-0.06670782134207946
34.	-0.0540604213496218	-0.05045887217729051
35.	-0.03617699265399094	-0.030878706542182194
36.	-0.016641336260577778	-0.009673794982072112
37.	0.0030272222893806193	0.011404818186402004
38.	0.021446276034189242	0.030708305638494273
39.	0.037443993333432825	0.04682404329816284
40.	0.05010272798419361	0.05868666531372812
41.	0.0587852112097329	0.06565665866395722
42.	0.06315527707887394	0.06755839875283123
43.	0.06319764876015226	0.06467228601935471
44.	0.05923055699217901	0.057679936509961865
45.	0.05189608274698513	0.04756694525654579
46.	0.042110993714105004	0.035493808893908275
47.	0.03096787329866549	0.022651003869328442
48.	0.019591148129309087	0.01011768775605759
49.	0.008970262296692675	-0.0012560352566030357
50.	-0.000194091955679598	-0.010926378818292712
51.	-0.007591184406642022	-0.018682061511424056
52.	-0.013318729106804435	-0.02461734755559882
53.	-0.017808968246378627	-0.029059033878251744
54.	-0.02167829861116065	-0.032462408012624996
55.	-0.025538771644108324	-0.03529624836162299
56.	-0.02982131668055274	-0.03793804865789311
57.	-0.03465703579367884	-0.04059763397596398
58.	-0.03984533874770552	-0.04328092114353405
59.	-0.04491178997322446	-0.0457972204488177
60.	-0.04923286892655437	-0.047805011956454944
61.	-0.05218767181906979	-0.04888432485079476
62.	-0.05329299030541622	-0.04861999073489353
63.	-0.05228839577462078	-0.04667966993595249
64.	-0.04915740091194258	-0.04287337972514098
65.	-0.044092057247699074	-0.03718631592323262
66.	-0.03742404329159781	-0.02978269680310729
67.	-0.029550643477155563	-0.020983790722516407
68.	-0.020878481844625398	-0.011227150358181165
69.	-0.011795013719153067	-0.001015833116876285
70.	-0.002663552722786756	0.00913390619323144
71.	0.006172120333290726	0.018739770533050894
72.	0.014389286388944475	0.027391261785116593
73.	0.021703591707826545	0.034776472210362154
74.	0.027901214710797036	0.04069784222886044
75.	0.03287500853543297	0.045077744857049476
76.	0.03664882651050413	0.04795481890375294
77.	0.03937651617399635	0.04947163416869352
78.	0.041310490376069126	0.04985400395615613
79.	0.042745737748796336	0.04938244697849305
80.	0.04395405194983247	0.04835710456819224
81.	0.045126564518808074	0.0470587272818373
82.	0.046339226782673465	0.04570980544457492
83.	0.04754738057027457	0.0444410489571076
84.	0.0486056543160518	0.043268758233212266
85.	0.0493021564514637	0.042087866092466376
86.	0.04939400193796971	0.04068352509891715
87.	0.048634866628884325	0.03876131257875777
88.	0.04679235223982311	0.03599292072832907
89.	0.0436598975593891	0.03207122850674187
90.	0.039071431556611545	0.026766552003792063
91.	0.032925260289256596	0.019975131445020153
92.	0.025217551433884468	0.011751764801805287
93.	0.016078048270141962	0.002320846983329661
94.	0.005794981637754131	-0.007936485300515486
95.	-0.005184518200727226	-0.018517507436583643
96.	-0.01628697927148513	-0.02885015185081134
97.	-0.026877025466521823	-0.038354487547870644
98.	-0.03634214664124452	-0.046504367861347234
99.	-0.04417882710121053	-0.052880577727086694
100.	-0.05005951553113789	-0.057208648556179735
101.	-0.05386490895910718	-0.05937732803059871
102.	-0.055675758823719716	-0.05943686813512845
103.	-0.05572941202505486	-0.05757919095842132
104.	-0.05435480174345656	-0.0541041166650464
105.	-0.051902995468660625	-0.049376954648811595
106.	-0.04868818485737199	-0.04378291704376714
107.	-0.044947803970737055	-0.03768329487454967
108.	-0.04082325084748687	-0.031377528899492774
109.	-0.03635742541228898	-0.0250745488341166
110.	-0.03150370431914746	-0.018876204477952324
111.	-0.02614287912072345	-0.012775185695502175
112.	-0.020108129465033292	-0.006669232602071649
113.	-0.013220685840296665	-0.00039229901354139357
114.	-0.005338370396011357	0.006238622455046337
115.	0.0035848601031020924	0.013365076127860118
116.	0.013436583891930478	0.021024394288067388
117.	0.023894923516309886	0.029092821160616403
118.	0.034405557613613316	0.03724641186864821
119.	0.044200638892757216	0.04495122078720646
120.	0.052365479585613446	0.051491290110744874
121.	0.05794760827945078	0.056037391763560485
122.	0.06009175004170361	0.057752112585877896
123.	0.058176947127169906	0.055919054593735314
124.	0.05193071593379717	0.05007733447812794
125.	0.04150007425805106	0.040138837533060266
126.	0.027468639803537313	0.026465963534861376
127.	0.010819655678877783	0.009892242361673144
128.	-0.007146467148550294	-0.008323410847536518
129.	-0.024926762225012975	-0.02660735986422661
130.	-0.04094867064664823	-0.04323447059599206
131.	-0.053709899130649226	-0.05652250247766518
132.	-0.061916560437535406	-0.06503088968124382
133.	-0.06461224889769174	-0.06773636802747846
134.	-0.06128956225731737	-0.06416175946230762
135.	-0.05197283725692636	-0.05444176262596409
136.	-0.03725858986153128	-0.03931919354550324
137.	-0.018300706234788147	-0.020074880500590742
138.	0.003267673333393632	0.0015973800213119462
139.	0.02547457048781159	0.02375393617965844
140.	0.04619962930038408	0.044383312464186385
141.	0.06339208763743077	0.06158862332515443
142.	0.0752875717274641	0.0737545037455298
143.	0.08059493017885735	0.0796863512281079
144.	0.07863024053292857	0.07871334148215157
