lambda	rg	rw	rdh	zg	zw	zdh
0.	3.076923076923076923076923076923	2.328255320969865296800054029709	3.07808466614851790956914902349	0.7071067811865475244008443621048	0.6987492290752971866797664624581	0.706366015303566933244922826725
0.0625	3.077602939945519574003493756759	2.32871113429435422525553463	3.07927372276930614444696283	0.697617914210145334814914940469	0.6893308900635904606200749943	0.6966033504609438169141751947
0.125	3.07964447058762615676841449851	2.3300872299238958788976198	3.0828524116370648019914685	0.66939614120871203976856204735	0.6613224103005833803871184771	0.6675774081416380971968343603
0.1875	3.08305349583681823482980613774	2.3324093574451211268550066	3.088855044235697966996682	0.62317196559831718428368261455	0.6154588095732831289110230675	0.620069344102457598818349696
0.25	3.08783973474823293031537443813	2.3357196215232594661406548	3.0973378882978614671370167	0.56014912096231283797548282413	0.552949384248275463592017796	0.555363931967819640034507561
0.3125	3.0940168090846851385366371618	2.3400750009769431697603864	3.108377489091503580429531	0.48198229885086948900016198984	0.475452771250623204482441436	0.475222343749908303272632111
0.375	3.1016022572477785668277689868	2.3455448864651522838954934	3.1220678805980697855261247	0.39074325095372901022986865957	0.38503994465947112140090107	0.381841716267892911946009751
0.4375	3.1106175504965718136258890312	2.352207549995309316245821	3.138516601857954924914068	0.28887363114273560890999909274	0.284144191994394081361031129	0.277800479570244055511191259
0.5	3.1210881101071786543982732386	2.360145784533404199156258	3.157839807353960374479197	0.17912375281566919248710607877	0.175498043135348491452129108	0.165989481154352202861531681
0.5625	3.1330433237398442455167135567	2.36944235858043279056983	3.18015720431099315673102	0.06447778033799496530206818812	0.0620583482977552660076684	0.049530310792482635098116146
0.625	3.1465165588379061930193068649	2.380176237445971438948195	3.205587845797541399147394	-0.0519325054863618418862393197	-0.053078093109254369547140203	-0.068316438921937529709255565
0.6875	3.1615451703731286998818603092	2.392420535949959704090025	3.23424774603607289010717	-0.1669216756336470845813207628	-0.166765011019069633281238884	-0.184249212365706642207430902
0.75	3.1781704996605578176998028838	2.40624280742653023443019	3.26624981231704083203386	-0.27734753267708553970291342324	-0.275899336315537839523445121	-0.295025438689001249495046664
0.8125	3.1964378602784288231945261208	2.421707660932244427551698	3.301705887021554843569501	-0.38020564011423324381742934815	-0.3775119425081176934895101	-0.397558772482607916059136822
0.875	3.2163965063286591956281822291	2.43888110090124696374542	3.340730080493367519061986	-0.47271659491652885065630419844	-0.468852484069279616238196034	-0.489009218335653416156251661
0.9375	3.238099577343809989535535697	2.457835654804800989038798	3.383442302022292728690819	-0.55240220282807178001828365116	-0.547464901893660707577138722	-0.566862423046243879988859298
1.	3.261604013068871353960791087	2.478655384685969337270918	3.4299710037722311687039	-0.6171482389272542923627734355	-0.611251114243562211855284668	-0.628995585400690146865046661
