lambda	rg	rw	rdh	zg	zw	zdh
0.	3.0769230769230775	2.794229893413849	3.0811771609148835	0.7071067811865475	0.6806060352246425	0.6835208531220679
0.0625	3.0778723661677847	2.795140124494554	3.0823990768318907	0.6974441382256036	0.6703588218240422	0.673189811766855
0.125	3.0807240188513503	2.7976464035154884	3.085857206348533	0.6687100943879986	0.641066831860279	0.6435566305647396
0.1875	3.085489395944993	2.8017572235186834	3.091562791513848	0.621662098711979	0.5934802893169162	0.5953886679497318
0.25	3.092187452298243	2.8074994360962027	3.099547540028043	0.5575480046800929	0.5288446970704557	0.5299594006452121
0.3125	3.1008447646685218	2.814920449961401	3.109865353793909	0.4780824982665496	0.44886968367961694	0.4490173326941967
0.375	3.1114955672414357	2.824076646391572	3.1225794758853467	0.3854111964990081	0.35572469880749125	0.3547801451670829
0.4375	3.124181790713066	2.835049470997712	3.137780425415943	0.28206069551110036	0.2519544826491053	0.24984749800791933
0.5	3.138953099579853	2.8479408678673828	3.155579596053443	0.17087374145121212	0.14041608272701223	0.13713771499589753
0.5625	3.1558669206167043	2.8628564129859955	3.176091095133797	0.05493016124836989	0.024223686829326945	0.01982868163117596
0.625	3.1749884535540462	2.8799203682524053	3.199448987295623	-0.0625440625366118	-0.09338233492868327	-0.09877713634408256
0.6875	3.1963906526165933	2.899267286563242	3.2257960356716997	-0.1782755395765257	-0.20912575581474163	-0.21534323725371063
0.75	3.220154164780062	2.9210235882881452	3.2552642537006555	-0.2890448420399093	-0.3197761599610154	-0.32658557002207034
0.8125	3.246367207248736	2.9453268543288176	3.287996903298877	-0.3917848931605896	-0.4222789344936406	-0.4294058373837275
0.875	3.275125362661872	2.972321918718507	3.3241407022556833	-0.4836712286437337	-0.5138308195646774	-0.5209661012455219
0.9375	3.306531265801852	3.002147531443518	3.3638313106573237	-0.5622001940171001	-0.591943998551762	-0.5987565088777188
1.	3.3406941500039515	3.03496032063358	3.407219566342574	-0.6252528085758431	-0.6545298735084716	-0.6606800728032335
1.0625	3.377729214967736	3.0709338133067203	3.454464936309943	-0.6711437663725837	-0.6999349520340855	-0.7050867939878502
1.125	3.417756770176149	3.1102467669540195	3.505721677315722	-0.6986564785704267	-0.7269712184593559	-0.7308057367747642
1.1875	3.4609010996131833	3.153103301219555	3.561159639630141	-0.7070659125445359	-0.7349470990400059	-0.7371749842288815
1.25	3.5072889839747927	3.1997289221845846	3.6209530287873655	-0.6961511335217884	-0.7236720522670803	-0.7240451339391747
1.3125	3.5570478062357567	3.2503584374218026	3.6852647094576154	-0.6661989592659056	-0.6934613572388215	-0.6917839929536513
1.375	3.610303155569326	3.3052462463038785	3.7542542216139076	-0.6179992002240583	-0.6451276846834573	-0.6412661858165803
1.4375	3.6671758337429603	3.364656975423584	3.828060070978904	-0.5528308757461025	-0.5799646948559823	-0.5738563482396989
1.5	3.727778158069683	3.428855927775907	3.9067847920889043	-0.47243790095382043	-0.4997242276953682	-0.4913839051795725
1.5625	3.7922094470347556	3.4981057631140615	3.9904847569893036	-0.37899231870129596	-0.4065722003097804	-0.39609682477909325
1.625	3.860550570636247	3.572651387802653	4.079147545236837	-0.27504339297433766	-0.30304425108500466	-0.29061523401441347
1.6875	3.9328574497418938	3.6527204632662063	4.172685563216942	-0.16345181723712837	-0.19197862201069524	-0.17785931245403358
1.75	4.00915340063576	3.738503835207356	4.270903851217839	-0.0473097834117229	-0.07643730244870812	-0.06096956208566445
1.8125	4.089420246547914	3.830134240183507	4.373476947183066	0.07015058981849323	0.040370990971484846	0.05677641997408428
1.875	4.173588162343976	3.9277061862354454	4.4799624232990585	0.18565634194672623	0.15520418806145234	0.17208208814878762
1.9375	4.261524287417969	4.0312314494212975	4.58974025652828	0.29599501694143066	0.2648753329438964	0.28171661671399795
2.	4.353020241170542	4.1406027398658	4.7019934944024815	0.3981126705330575	0.3663376196204201	0.38261053125884736
2.0625	4.447778810702183	4.255642503233249	4.81575879830745	0.48920345109695157	0.45680962099985256	0.471979920688314
2.125	4.545400255056735	4.376016402962248	4.929830836423472	0.5667869155195226	0.5338248260560167	0.5473660792216947
2.1875	4.64536888422663	4.501167126992678	5.042761219778691	0.6287709258739254	0.5952876507091969	0.6067069749714689
2.25	4.747040817497026	4.630434604917121	5.1529969947615895	0.6734997034810987	0.6395709985461118	0.6484247583287595
2.3125	4.849634088514475	4.762902818480249	5.25872861256286	0.699788019839648	0.6655016687711457	0.6714011144610689
2.375	4.952222515421847	4.8971871342772175	5.357856001683069	0.7069433111526312	0.6723962123914344	0.6750371345733341
2.4375	5.053734951087249	5.031754148945542	5.448387948087801	0.6947776081706237	0.6601412317881101	0.6593083397458963
2.5	5.152961614817448	5.165102697821446	5.528515199757388	0.663610641510073	0.6290927544500637	0.6246477134028808
2.5625	5.248569117772595	5.295402488789823	5.59638090178126	0.6142645254051893	0.5800352940833969	0.5719424849687902
2.625	5.339125465137684	5.420416551907279	5.650214721514714	0.5480493431701247	0.514260983328611	0.502599213356555
2.6875	5.423135701138309	5.537767725708036	5.6885673888533095	0.46673808452441806	0.43352189201263375	0.41847956812081544
2.75	5.499087947395891	5.645005673871701	5.7103627417165175	0.37252900359447494	0.339982387469123	0.321869937142901
2.8125	5.565508417714169	5.7396459102437145	5.714962566134253	0.2679937543075788	0.23620835229678552	0.21545198385019293
2.875	5.621022691433287	5.819326555771871	5.702225866293314	0.15601063922757602	0.1250746856919581	0.10220494970221358
2.9375	5.664419281197202	5.881929561897203	5.67251434847553	0.0396838273369801	0.009686580485993572	-0.014667268395338027
